,date,state,case,death_NYTimes,death_new,hosp
0,12/1/2022,US,98613271,1088564,235.5714286,4798
1,12/2/2022,US,98686737,1088978,235.5714286,4698
2,12/3/2022,US,98691598,1088997,235.5714286,4475
3,12/4/2022,US,98696204,1088997,235.5714286,4085
4,12/5/2022,US,98750243,1089181,235.5714286,4344
5,12/6/2022,US,98798681,1089662,235.5714286,5148
6,12/7/2022,US,98949011,1090599,235.5714286,5105
7,12/8/2022,US,99089404,1092099,235.5714286,4920
8,12/9/2022,US,99122963,1092393,235.5714286,4820
9,12/10/2022,US,99128018,1092410,235.5714286,4855
10,12/11/2022,US,99133303,1092410,235.5714286,4317
11,12/12/2022,US,99187602,1092595,235.5714286,4394
12,12/13/2022,US,99245874,1093064,235.5714286,5318
13,12/14/2022,US,99400962,1093869,235.5714286,5271
14,12/15/2022,US,99527716,1094509,235.5714286,5455
15,12/16/2022,US,99601910,1095062,235.5714286,5361
16,12/17/2022,US,99606838,1095074,235.5714286,5215
17,12/18/2022,US,99612758,1095074,235.5714286,4716
18,12/19/2022,US,99669991,1095297,235.5714286,4736
19,12/20/2022,US,99726822,1095749,235.5714286,5645
20,12/21/2022,US,99907293,1096760,235.5714286,5596
21,12/22/2022,US,100055824,1097361,235.5714286,5689
22,12/23/2022,US,100087194,1097537,235.5714286,5507
23,12/24/2022,US,100092117,1097539,235.5714286,5211
24,12/25/2022,US,100095566,1097539,235.5714286,4793
25,12/26/2022,US,100104798,1097550,235.5714286,4748
26,12/27/2022,US,100190406,1097812,235.5714286,6032
27,12/28/2022,US,100313378,1098651,235.5714286,6765
28,12/29/2022,US,100423471,1099302,235.5714286,6821
29,12/30/2022,US,100456662,1099824,235.5714286,6805
30,12/31/2022,US,100462184,1099837,235.5714286,6506
31,1/1/2023,US,100447989,1099837,235.5714286,5699
32,1/2/2023,US,100458882,1099837,235.5714286,5634
33,1/3/2023,US,100535564,1100152,235.5714286,6279
34,1/4/2023,US,100743731,1102278,235.5714286,6501
35,1/5/2023,US,100859561,1102956,235.5714286,6358
36,1/6/2023,US,100969155,1103517,235.5714286,6239
37,1/7/2023,US,100972762,1103530,235.5714286,5526
38,1/8/2023,US,100978862,1103533,235.5714286,4931
39,1/9/2023,US,101023334,1103732,235.5714286,4837
40,1/10/2023,US,101067331,1104459,235.5714286,5427
41,1/11/2023,US,101225546,1105982,235.5714286,5424
42,1/12/2023,US,101322776,1106738,235.5714286,5204
43,1/13/2023,US,101353503,1107013,235.5714286,5045
44,1/14/2023,US,101357407,1107039,235.5714286,4801
45,1/15/2023,US,101361142,1107040,235.5714286,3997
46,1/16/2023,US,101369550,1107051,235.5714286,3888
47,1/17/2023,US,101428192,1107788,235.5714286,4577
48,1/18/2023,US,101573353,1109270,235.5714286,4552
49,1/19/2023,US,101641282,1110084,235.5714286,4476
50,1/20/2023,US,101724115,1111004,235.5714286,4405
51,1/21/2023,US,101726588,1111011,235.5714286,4053
52,1/22/2023,US,101731541,1111020,235.5714286,3430
53,1/23/2023,US,101763953,1111290,235.5714286,3464
54,1/24/2023,US,101795726,1111991,235.5714286,4117
55,1/25/2023,US,101909009,1113234,235.5714286,4153
56,1/26/2023,US,101987861,1114038,235.5714286,3901
57,1/27/2023,US,102002032,1114217,235.5714286,3862
58,1/28/2023,US,102004232,1114224,235.5714286,3706
59,1/29/2023,US,102008656,1114228,235.5714286,3295
60,1/30/2023,US,102039105,1114413,235.5714286,3287
61,1/31/2023,US,102070172,1115001,235.5714286,3773
62,2/1/2023,US,102179838,1115974,235.5714286,3732
63,2/2/2023,US,102247441,1116666,235.5714286,3719
64,2/3/2023,US,102311816,1117828,235.5714286,3640
65,2/4/2023,US,102314712,1117837,235.5714286,3519
66,2/5/2023,US,102317430,1117837,235.5714286,2998
67,2/6/2023,US,102342210,1118038,235.5714286,3224
68,2/7/2023,US,102374102,1118715,235.5714286,3777
69,2/8/2023,US,102486294,1119717,235.5714286,3817
70,2/9/2023,US,102555293,1120505,235.5714286,3746
71,2/10/2023,US,102569435,1120667,235.5714286,3700
72,2/11/2023,US,102571337,1120678,235.5714286,3612
