,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,AL,1549285,21129,3.5714285714285716,0.0,0.0,58.0
1,2022/12/02,AL,1549285,21129,3.5714285714285716,0.0,0.0,60.0
2,2022/12/03,AL,1549285,21129,3.5714285714285716,0.0,0.0,46.0
3,2022/12/04,AL,1549285,21129,3.5714285714285716,0.0,0.0,39.0
4,2022/12/05,AL,1549285,21129,3.5714285714285716,0.0,0.0,48.0
5,2022/12/06,AL,1549285,21129,3.5714285714285716,0.0,0.0,67.0
6,2022/12/07,AL,1555092,21149,3.5714285714285716,0.0,0.0,56.0
7,2022/12/08,AL,1555092,21164,3.5714285714285716,0.0,0.0,75.0
8,2022/12/09,AL,1555092,21164,3.5714285714285716,0.0,0.0,71.0
9,2022/12/10,AL,1555092,21164,3.5714285714285716,0.0,0.0,55.0
10,2022/12/11,AL,1555092,21164,3.5714285714285716,0.0,0.0,55.0
11,2022/12/12,AL,1555092,21164,3.5714285714285716,0.0,0.0,53.0
12,2022/12/13,AL,1555092,21164,3.5714285714285716,0.0,0.0,56.0
13,2022/12/14,AL,1561557,21178,3.5714285714285716,0.0,0.0,71.0
14,2022/12/15,AL,1561557,21178,3.5714285714285716,0.0,0.0,57.0
15,2022/12/16,AL,1561557,21178,3.5714285714285716,0.0,0.0,62.0
16,2022/12/17,AL,1561557,21178,3.5714285714285716,0.0,0.0,56.0
17,2022/12/18,AL,1561557,21178,3.5714285714285716,0.0,0.0,44.0
18,2022/12/19,AL,1561557,21178,3.5714285714285716,0.0,0.0,52.0
19,2022/12/20,AL,1561557,21178,3.5714285714285716,0.0,0.0,66.0
20,2022/12/21,AL,1568934,21208,3.5714285714285716,0.0,0.0,84.0
21,2022/12/22,AL,1568934,21208,3.5714285714285716,0.0,0.0,75.0
22,2022/12/23,AL,1568934,21208,3.5714285714285716,0.0,0.0,73.0
23,2022/12/24,AL,1568934,21208,3.5714285714285716,0.0,0.0,70.0
24,2022/12/25,AL,1568934,21208,3.5714285714285716,0.0,0.0,64.0
25,2022/12/26,AL,1568934,21208,3.5714285714285716,0.0,0.0,68.0
26,2022/12/27,AL,1568934,21208,3.5714285714285716,0.0,0.0,97.0
27,2022/12/28,AL,1568934,21208,3.5714285714285716,0.0,0.0,116.0
28,2022/12/29,AL,1573637,21208,3.5714285714285716,0.0,0.0,106.0
29,2022/12/30,AL,1573637,21208,3.5714285714285716,0.0,0.0,100.0
30,2022/12/31,AL,1573637,21208,3.5714285714285716,0.0,0.0,95.0
31,2023/01/01,AL,1573637,21208,3.5714285714285716,0.0,0.2857142857142857,68.0
32,2023/01/02,AL,1573637,21208,3.5714285714285716,0.0,0.2857142857142857,79.0
33,2023/01/03,AL,1573637,21208,3.5714285714285716,0.0,0.2857142857142857,104.0
34,2023/01/04,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,120.0
35,2023/01/05,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,88.0
36,2023/01/06,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,96.0
37,2023/01/07,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,79.0
38,2023/01/08,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,59.0
39,2023/01/09,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,49.0
40,2023/01/10,AL,1587224,21263,3.5714285714285716,0.0,0.2857142857142857,87.0
41,2023/01/11,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,79.0
42,2023/01/12,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,77.0
43,2023/01/13,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,80.0
44,2023/01/14,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,57.0
45,2023/01/15,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,65.0
46,2023/01/16,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,50.0
47,2023/01/17,AL,1596149,21300,3.5714285714285716,0.0,0.2857142857142857,68.0
48,2023/01/18,AL,1602891,21322,3.5714285714285716,0.0,0.2857142857142857,62.0
49,2023/01/19,AL,1602891,21322,3.5714285714285716,0.0,0.2857142857142857,54.0
50,2023/01/20,AL,1602891,21322,3.5714285714285716,0.0,0.2857142857142857,52.0
51,2023/01/21,AL,1602891,21322,3.5714285714285716,0.0,0.2857142857142857,57.0
52,2023/01/22,AL,1602891,21322,3.5714285714285716,0.0,0.42857142857142855,55.0
53,2023/01/23,AL,1602891,21322,3.5714285714285716,0.0,0.42857142857142855,59.0
54,2023/01/24,AL,1602891,21322,3.5714285714285716,0.0,0.42857142857142855,77.0
55,2023/01/25,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,58.0
56,2023/01/26,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,48.0
57,2023/01/27,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,49.0
58,2023/01/28,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,42.0
59,2023/01/29,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,52.0
60,2023/01/30,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,48.0
61,2023/01/31,AL,1610535,21343,3.5714285714285716,0.0,0.42857142857142855,68.0
62,2023/02/01,AL,1617850,21354,3.5714285714285716,0.0,0.42857142857142855,54.0
63,2023/02/02,AL,1617850,21354,3.5714285714285716,0.0,0.42857142857142855,41.0
64,2023/02/03,AL,1617850,21354,3.5714285714285716,0.0,0.42857142857142855,60.0
65,2023/02/04,AL,1617850,21354,3.5714285714285716,0.0,0.42857142857142855,51.0
66,2023/02/05,AL,1617850,21354,3.5714285714285716,0.0,0.5714285714285714,41.0
67,2023/02/06,AL,1617850,21354,3.5714285714285716,0.0,0.5714285714285714,46.0
68,2023/02/07,AL,1617850,21354,3.5714285714285716,0.0,0.5714285714285714,61.0
69,2023/02/08,AL,1627670,21363,3.5714285714285716,0.0,0.5714285714285714,53.0
70,2023/02/09,AL,1627670,21363,3.5714285714285716,0.0,0.5714285714285714,69.0
71,2023/02/10,AL,1627670,21363,3.5714285714285716,0.0,0.5714285714285714,71.0
72,2023/02/11,AL,1627670,21363,3.5714285714285716,0.0,0.5714285714285714,59.0
73,2023/02/12,AL,1627670,21363,3.5714285714285716,0.0,0.42857142857142855,52.0
74,2023/02/13,AL,1627670,21363,3.5714285714285716,0.0,0.42857142857142855,52.0
75,2023/02/14,AL,1627670,21363,3.5714285714285716,0.0,0.42857142857142855,69.0
76,2023/02/15,AL,1633743,21369,3.5714285714285716,0.0,0.42857142857142855,45.0
77,2023/02/16,AL,1633743,21369,3.5714285714285716,0.0,0.42857142857142855,49.0
78,2023/02/17,AL,1633743,21369,3.5714285714285716,0.0,0.42857142857142855,37.0
79,2023/02/18,AL,1633743,21369,3.5714285714285716,0.0,0.42857142857142855,49.0
80,2023/02/19,AL,1633743,21369,3.5714285714285716,0.0,0.5714285714285714,42.0
81,2023/02/20,AL,1633743,21369,3.5714285714285716,0.0,0.5714285714285714,36.0
82,2023/02/21,AL,1633743,21369,3.5714285714285716,0.0,0.5714285714285714,39.0
83,2023/02/22,AL,1638348,21400,3.5714285714285716,0.0,0.5714285714285714,55.0
84,2023/02/23,AL,1638348,21400,3.5714285714285716,0.0,0.5714285714285714,49.0
85,2023/02/24,AL,1638348,21400,3.5714285714285716,0.0,0.5714285714285714,47.0
86,2023/02/25,AL,1638348,21400,3.5714285714285716,0.0,0.5714285714285714,40.0
