,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,CT,927641,11587,2.142857142857143,0.0,0.0,88.0
1,2022/12/02,CT,928712,11587,2.142857142857143,0.0,0.0,65.0
2,2022/12/03,CT,928712,11587,2.142857142857143,0.0,0.0,72.0
3,2022/12/04,CT,929619,11587,2.142857142857143,0.0,0.0,49.0
4,2022/12/05,CT,929899,11587,2.142857142857143,0.0,0.0,49.0
5,2022/12/06,CT,930723,11602,2.142857142857143,0.0,0.0,80.0
6,2022/12/07,CT,931371,11603,2.142857142857143,0.0,0.0,86.0
7,2022/12/08,CT,932066,11603,2.142857142857143,0.0,0.0,87.0
8,2022/12/09,CT,932781,11603,2.142857142857143,0.0,0.0,73.0
9,2022/12/10,CT,932781,11603,2.142857142857143,0.0,0.0,69.0
10,2022/12/11,CT,933631,11603,2.142857142857143,0.0,0.0,66.0
11,2022/12/12,CT,934388,11603,2.142857142857143,0.0,0.0,81.0
12,2022/12/13,CT,935123,11656,2.142857142857143,0.0,0.0,90.0
13,2022/12/14,CT,936024,11659,2.142857142857143,0.0,0.0,75.0
14,2022/12/15,CT,936976,11659,2.142857142857143,0.0,0.0,93.0
15,2022/12/16,CT,937673,11665,2.142857142857143,0.0,0.0,89.0
16,2022/12/17,CT,937673,11665,2.142857142857143,0.0,0.0,99.0
17,2022/12/18,CT,938943,11665,2.142857142857143,0.0,0.0,69.0
18,2022/12/19,CT,939281,11665,2.142857142857143,0.0,0.0,68.0
19,2022/12/20,CT,940702,11733,2.142857142857143,0.0,0.0,82.0
20,2022/12/21,CT,941267,11733,2.142857142857143,0.0,0.0,115.0
21,2022/12/22,CT,942022,11733,2.142857142857143,0.0,0.0,67.0
22,2022/12/23,CT,943284,11733,2.142857142857143,0.0,0.0,108.0
23,2022/12/24,CT,943284,11733,2.142857142857143,0.0,0.0,109.0
24,2022/12/25,CT,944493,11733,2.142857142857143,0.0,0.0,83.0
25,2022/12/26,CT,944755,11733,2.142857142857143,0.0,0.0,96.0
26,2022/12/27,CT,945045,11733,2.142857142857143,0.0,0.0,115.0
27,2022/12/28,CT,946236,11766,2.142857142857143,0.0,0.0,138.0
28,2022/12/29,CT,947016,11770,2.142857142857143,0.0,0.0,135.0
29,2022/12/30,CT,948001,11781,2.142857142857143,0.0,0.0,97.0
30,2022/12/31,CT,948001,11781,2.142857142857143,0.0,0.0,97.0
31,2023/01/01,CT,949324,11781,2.142857142857143,0.0,0.42857142857142855,80.0
32,2023/01/02,CT,949661,11781,2.142857142857143,0.0,0.42857142857142855,84.0
33,2023/01/03,CT,950046,11781,2.142857142857143,0.0,0.42857142857142855,95.0
34,2023/01/04,CT,952152,11803,2.142857142857143,0.0,0.42857142857142855,81.0
35,2023/01/05,CT,953006,11803,2.142857142857143,0.0,0.42857142857142855,152.0
36,2023/01/06,CT,953522,11803,2.142857142857143,0.0,0.42857142857142855,146.0
37,2023/01/07,CT,953522,11803,2.142857142857143,0.0,0.42857142857142855,89.0
38,2023/01/08,CT,955076,11803,2.142857142857143,0.0,0.42857142857142855,83.0
39,2023/01/09,CT,955320,11803,2.142857142857143,0.0,0.42857142857142855,94.0
40,2023/01/10,CT,956351,11858,2.142857142857143,0.0,0.42857142857142855,132.0
41,2023/01/11,CT,957189,11863,2.142857142857143,0.0,0.42857142857142855,108.0
42,2023/01/12,CT,957654,11863,2.142857142857143,0.0,0.42857142857142855,122.0
43,2023/01/13,CT,958408,11863,2.142857142857143,0.0,0.42857142857142855,116.0
44,2023/01/14,CT,958408,11863,2.142857142857143,0.0,0.42857142857142855,111.0
45,2023/01/15,CT,959305,11864,2.142857142857143,0.0,0.42857142857142855,104.0
46,2023/01/16,CT,959807,11864,2.142857142857143,0.0,0.42857142857142855,68.0
47,2023/01/17,CT,960058,11864,2.142857142857143,0.0,0.42857142857142855,82.0
48,2023/01/18,CT,960940,11895,2.142857142857143,0.0,0.42857142857142855,92.0
49,2023/01/19,CT,961676,11899,2.142857142857143,0.0,0.42857142857142855,102.0
50,2023/01/20,CT,962247,11903,2.142857142857143,0.0,0.42857142857142855,98.0
51,2023/01/21,CT,962247,11903,2.142857142857143,0.0,0.42857142857142855,85.0
52,2023/01/22,CT,963166,11905,2.142857142857143,0.0,0.2857142857142857,67.0
53,2023/01/23,CT,963326,11905,2.142857142857143,0.0,0.2857142857142857,63.0
