,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,IL,3888967,40325,9.0,0.0,0.0,243.0
1,2022/12/02,IL,3892217,40339,9.0,0.0,0.0,217.0
2,2022/12/03,IL,3892217,40339,9.0,0.0,0.0,219.0
3,2022/12/04,IL,3892217,40339,9.0,0.0,0.0,222.0
4,2022/12/05,IL,3899802,40355,9.0,0.0,0.0,195.0
5,2022/12/06,IL,3902886,40372,9.0,0.0,0.0,248.0
6,2022/12/07,IL,3906896,40385,9.0,0.0,0.0,240.0
7,2022/12/08,IL,3910180,40394,9.0,0.0,0.0,231.0
8,2022/12/09,IL,3913707,40406,9.0,0.0,0.0,252.0
9,2022/12/10,IL,3913707,40406,9.0,0.0,0.0,231.0
10,2022/12/11,IL,3913707,40406,9.0,0.0,0.0,223.0
11,2022/12/12,IL,3922374,40422,9.0,0.0,0.0,212.0
12,2022/12/13,IL,3925702,40441,9.0,0.0,0.0,304.0
13,2022/12/14,IL,3929555,40461,9.0,0.0,0.0,269.0
14,2022/12/15,IL,3934504,40477,9.0,0.0,0.0,283.0
15,2022/12/16,IL,3937076,40502,9.0,0.0,0.0,280.0
16,2022/12/17,IL,3937076,40502,9.0,0.0,0.0,271.0
17,2022/12/18,IL,3937076,40502,9.0,0.0,0.0,284.0
18,2022/12/19,IL,3946194,40525,9.0,0.0,0.0,257.0
19,2022/12/20,IL,3948687,40543,9.0,0.0,0.0,322.0
20,2022/12/21,IL,3953906,40564,9.0,0.0,0.0,270.0
21,2022/12/22,IL,3957136,40586,9.0,0.0,0.0,280.0
22,2022/12/23,IL,3960888,40610,9.0,0.0,0.0,258.0
23,2022/12/24,IL,3960888,40610,9.0,0.0,0.0,238.0
24,2022/12/25,IL,3960888,40610,9.0,0.0,0.0,245.0
25,2022/12/26,IL,3960888,40610,9.0,0.0,0.0,202.0
26,2022/12/27,IL,3967450,40627,9.0,0.0,0.0,299.0
27,2022/12/28,IL,3970204,40633,9.0,0.0,0.0,336.0
28,2022/12/29,IL,3973551,40657,9.0,0.0,0.0,313.0
29,2022/12/30,IL,3976840,40678,9.0,0.0,0.0,313.0
30,2022/12/31,IL,3976840,40678,9.0,0.0,0.0,284.0
31,2023/01/01,IL,3976840,40678,9.0,0.0,0.5714285714285714,236.0
32,2023/01/02,IL,3976840,40678,9.0,0.0,0.5714285714285714,238.0
33,2023/01/03,IL,3981926,40702,9.0,0.0,0.5714285714285714,277.0
34,2023/01/04,IL,3981982,40702,9.0,0.0,0.5714285714285714,291.0
35,2023/01/05,IL,3987971,40747,9.0,0.0,0.5714285714285714,291.0
36,2023/01/06,IL,3988009,40747,9.0,0.0,0.5714285714285714,246.0
37,2023/01/07,IL,3988009,40747,9.0,0.0,0.5714285714285714,224.0
38,2023/01/08,IL,3988009,40747,9.0,0.0,0.2857142857142857,217.0
39,2023/01/09,IL,3988144,40747,9.0,0.0,0.2857142857142857,196.0
40,2023/01/10,IL,3988172,40747,9.0,0.0,0.2857142857142857,234.0
41,2023/01/11,IL,3988208,40747,9.0,0.0,0.2857142857142857,212.0
42,2023/01/12,IL,3988275,40747,9.0,0.0,0.2857142857142857,221.0
43,2023/01/13,IL,3997877,40747,9.0,0.0,0.2857142857142857,188.0
44,2023/01/14,IL,3997877,40747,9.0,0.0,0.2857142857142857,190.0
45,2023/01/15,IL,3997877,40747,9.0,0.0,0.14285714285714285,202.0
46,2023/01/16,IL,3997877,40747,9.0,0.0,0.14285714285714285,164.0
47,2023/01/17,IL,4005047,40883,9.0,0.0,0.14285714285714285,182.0
48,2023/01/18,IL,4015850,40980,9.0,0.0,0.14285714285714285,183.0
49,2023/01/19,IL,4015908,40980,9.0,0.0,0.14285714285714285,190.0
50,2023/01/20,IL,4015953,40980,9.0,0.0,0.14285714285714285,185.0
51,2023/01/21,IL,4015953,40980,9.0,0.0,0.14285714285714285,145.0
52,2023/01/22,IL,4015953,40980,9.0,0.0,0.2857142857142857,147.0
53,2023/01/23,IL,4016002,40980,9.0,0.0,0.2857142857142857,130.0
54,2023/01/24,IL,4016024,40980,9.0,0.0,0.2857142857142857,177.0
55,2023/01/25,IL,4016024,40980,9.0,0.0,0.2857142857142857,152.0
56,2023/01/26,IL,4026850,41088,9.0,0.0,0.2857142857142857,179.0
57,2023/01/27,IL,4026886,41088,9.0,0.0,0.2857142857142857,143.0
58,2023/01/28,IL,4026886,41088,9.0,0.0,0.2857142857142857,140.0
59,2023/01/29,IL,4026886,41088,9.0,0.0,0.42857142857142855,96.0
60,2023/01/30,IL,4026949,41088,9.0,0.0,0.42857142857142855,113.0
61,2023/01/31,IL,4026970,41088,9.0,0.0,0.42857142857142855,135.0
62,2023/02/01,IL,4026996,41088,9.0,0.0,0.42857142857142855,122.0
63,2023/02/02,IL,4036994,41180,9.0,0.0,0.42857142857142855,158.0
64,2023/02/03,IL,4037023,41180,9.0,0.0,0.42857142857142855,154.0
65,2023/02/04,IL,4037023,41180,9.0,0.0,0.42857142857142855,138.0
66,2023/02/05,IL,4037023,41180,9.0,0.0,0.2857142857142857,115.0
67,2023/02/06,IL,4037072,41180,9.0,0.0,0.2857142857142857,121.0
68,2023/02/07,IL,4037092,41180,9.0,0.0,0.2857142857142857,155.0
69,2023/02/08,IL,4037121,41180,9.0,0.0,0.2857142857142857,138.0
70,2023/02/09,IL,4047219,41261,9.0,0.0,0.2857142857142857,142.0
71,2023/02/10,IL,4047264,41261,9.0,0.0,0.2857142857142857,144.0
72,2023/02/11,IL,4047264,41261,9.0,0.0,0.2857142857142857,158.0
73,2023/02/12,IL,4047264,41261,9.0,0.0,0.2857142857142857,142.0
74,2023/02/13,IL,4047306,41261,9.0,0.0,0.2857142857142857,125.0
75,2023/02/14,IL,4047306,41261,9.0,0.0,0.2857142857142857,148.0
76,2023/02/15,IL,4047422,41261,9.0,0.0,0.2857142857142857,176.0
77,2023/02/16,IL,4058063,41335,9.0,0.0,0.2857142857142857,172.0
78,2023/02/17,IL,4058087,41335,9.0,0.0,0.2857142857142857,155.0
79,2023/02/18,IL,4058087,41335,9.0,0.0,0.2857142857142857,154.0
80,2023/02/19,IL,4058087,41335,9.0,0.0,0.14285714285714285,135.0
81,2023/02/20,IL,4058087,41335,9.0,0.0,0.14285714285714285,150.0
82,2023/02/21,IL,4058188,41335,9.0,0.0,0.14285714285714285,173.0
83,2023/02/22,IL,4058220,41335,9.0,0.0,0.14285714285714285,158.0
84,2023/02/23,IL,4069289,41379,9.0,0.0,0.14285714285714285,140.0
85,2023/02/24,IL,4069322,41379,9.0,0.0,0.14285714285714285,144.0
86,2023/02/25,IL,4069322,41379,9.0,0.0,0.14285714285714285,140.0
87,2023/02/26,IL,4069322,41379,9.0,0.0,0.42857142857142855,120.0
88,2023/02/27,IL,4069322,41379,9.0,0.0,0.42857142857142855,137.0
89,2023/02/28,IL,4069426,41379,9.0,0.0,0.42857142857142855,159.0
90,2023/03/01,IL,4069468,41379,9.0,0.0,0.42857142857142855,182.0
91,2023/03/02,IL,4080061,41443,9.0,0.0,0.42857142857142855,159.0
92,2023/03/03,IL,4080122,41443,9.0,0.0,0.42857142857142855,140.0
93,2023/03/04,IL,4080122,41443,9.0,0.0,0.42857142857142855,142.0
94,2023/03/05,IL,4080122,41443,9.0,0.0,0.14285714285714285,135.0
95,2023/03/06,IL,4080183,41443,9.0,0.0,0.14285714285714285,131.0
96,2023/03/07,IL,4080183,41443,9.0,0.0,0.14285714285714285,158.0
97,2023/03/08,IL,4080247,41443,9.0,0.0,0.14285714285714285,136.0
98,2023/03/09,IL,4090398,41496,9.0,0.0,0.14285714285714285,138.0
99,2023/03/10,IL,4090437,41496,9.0,0.0,0.14285714285714285,145.0
100,2023/03/11,IL,4090437,41496,9.0,0.0,0.14285714285714285,117.0
101,2023/03/12,IL,4090437,41496,9.0,0.0,0.0,118.0
102,2023/03/13,IL,4090501,41496,9.0,0.0,0.0,110.0
103,2023/03/14,IL,4090501,41496,9.0,0.0,0.0,135.0
104,2023/03/15,IL,4090542,41496,9.0,0.0,0.0,143.0
105,2023/03/16,IL,4099372,41573,9.0,0.0,0.0,160.0
106,2023/03/17,IL,4099400,41573,9.0,0.0,0.0,149.0
107,2023/03/18,IL,4099400,41573,9.0,0.0,0.0,139.0
108,2023/03/19,IL,4099400,41573,9.0,,,96.0
109,2023/03/20,IL,4099448,41573,9.0,,,121.0
110,2023/03/21,IL,4099448,41573,9.0,,,149.0
111,2023/03/22,IL,4099448,41573,9.0,,,142.0
112,2023/03/23,IL,4107931,41618,9.0,,,137.0
113,2023/03/24,IL,,41627.0,9.0,,,131.0
114,2023/03/25,IL,,41636.0,9.0,,,142.0
115,2023/03/26,IL,,41645.0,9.0,,,120.0
116,2023/03/27,IL,,41653.142857142855,8.142857142857142,,,97.0
117,2023/03/28,IL,,41661.28571428571,8.142857142857142,,,154.0
118,2023/03/29,IL,,41669.428571428565,8.142857142857142,,,138.0
119,2023/03/30,IL,,41677.57142857142,8.142857142857142,,,129.0
120,2023/03/31,IL,,41685.714285714275,8.142857142857142,,,132.0
121,2023/04/01,IL,,41693.85714285713,8.142857142857142,,,136.0
122,2023/04/02,IL,,41701.999999999985,8.142857142857142,,,102.0
123,2023/04/03,IL,,41709.2857142857,7.285714285714286,,,101.0
124,2023/04/04,IL,,41716.57142857142,7.285714285714286,,,117.0
125,2023/04/05,IL,,41723.85714285714,7.285714285714286,,,95.0
126,2023/04/06,IL,,41731.142857142855,7.285714285714286,,,109.0
127,2023/04/07,IL,,41738.42857142857,7.285714285714286,,,122.0
128,2023/04/08,IL,,41745.71428571429,7.285714285714286,,,110.0
129,2023/04/09,IL,,41753.00000000001,7.285714285714286,,,76.0
130,2023/04/10,IL,,41759.00000000001,6.0,,,84.0
131,2023/04/11,IL,,41765.00000000001,6.0,,,103.0
132,2023/04/12,IL,,41771.00000000001,6.0,,,87.0
133,2023/04/13,IL,,41777.00000000001,6.0,,,106.0
134,2023/04/14,IL,,41783.00000000001,6.0,,,100.0
135,2023/04/15,IL,,41789.00000000001,6.0,,,106.0
