,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,IN,1965757,25164,5.285714285714286,0.0,0.0,105.0
1,2022/12/02,IN,1965757,25164,5.285714285714286,0.0,0.0,109.0
2,2022/12/03,IN,1965757,25164,5.285714285714286,0.0,0.0,117.0
3,2022/12/04,IN,1965757,25164,5.285714285714286,0.0,0.0,99.0
4,2022/12/05,IN,1965757,25164,5.285714285714286,0.0,0.0,93.0
5,2022/12/06,IN,1965757,25164,5.285714285714286,0.0,0.0,127.0
6,2022/12/07,IN,1977292,25164,5.285714285714286,0.0,0.0,136.0
7,2022/12/08,IN,1977292,25230,5.285714285714286,0.0,0.0,124.0
8,2022/12/09,IN,1977292,25230,5.285714285714286,0.0,0.0,116.0
9,2022/12/10,IN,1977292,25230,5.285714285714286,0.0,0.0,107.0
10,2022/12/11,IN,1977292,25230,5.285714285714286,0.0,0.0,100.0
11,2022/12/12,IN,1977292,25230,5.285714285714286,0.0,0.0,104.0
12,2022/12/13,IN,1977292,25230,5.285714285714286,0.0,0.0,136.0
13,2022/12/14,IN,1987017,25230,5.285714285714286,0.0,0.0,106.0
14,2022/12/15,IN,1987017,25303,5.285714285714286,0.0,0.0,143.0
15,2022/12/16,IN,1987017,25303,5.285714285714286,0.0,0.0,115.0
16,2022/12/17,IN,1987017,25303,5.285714285714286,0.0,0.0,113.0
17,2022/12/18,IN,1987017,25303,5.285714285714286,0.0,0.0,101.0
18,2022/12/19,IN,1987017,25303,5.285714285714286,0.0,0.0,101.0
19,2022/12/20,IN,1987017,25303,5.285714285714286,0.0,0.0,113.0
20,2022/12/21,IN,1996253,25303,5.285714285714286,0.0,0.0,110.0
21,2022/12/22,IN,1996253,25303,5.285714285714286,0.0,0.0,147.0
22,2022/12/23,IN,1996253,25303,5.285714285714286,0.0,0.0,133.0
23,2022/12/24,IN,1996253,25303,5.285714285714286,0.0,0.0,110.0
24,2022/12/25,IN,1996253,25303,5.285714285714286,0.0,0.0,85.0
25,2022/12/26,IN,1996253,25303,5.285714285714286,0.0,0.0,117.0
26,2022/12/27,IN,1996253,25303,5.285714285714286,0.0,0.0,148.0
27,2022/12/28,IN,2002760,25364,5.285714285714286,0.0,0.0,129.0
28,2022/12/29,IN,2002760,25364,5.285714285714286,0.0,0.0,149.0
29,2022/12/30,IN,2002760,25364,5.285714285714286,0.0,0.0,140.0
30,2022/12/31,IN,2002760,25364,5.285714285714286,0.0,0.0,118.0
31,2023/01/01,IN,2002760,25364,5.285714285714286,0.0,0.7142857142857143,112.0
32,2023/01/02,IN,2002760,25364,5.285714285714286,0.0,0.7142857142857143,99.0
33,2023/01/03,IN,2002760,25364,5.285714285714286,0.0,0.7142857142857143,114.0
34,2023/01/04,IN,2010174,25372,5.285714285714286,0.0,0.7142857142857143,101.0
35,2023/01/05,IN,2010174,25372,5.285714285714286,0.0,0.7142857142857143,103.0
36,2023/01/06,IN,2011911,25470,5.285714285714286,0.0,0.7142857142857143,106.0
37,2023/01/07,IN,2011911,25470,5.285714285714286,0.0,0.7142857142857143,92.0
38,2023/01/08,IN,2011911,25470,5.285714285714286,0.0,0.7142857142857143,76.0
39,2023/01/09,IN,2011911,25470,5.285714285714286,0.0,0.7142857142857143,73.0
40,2023/01/10,IN,2011911,25470,5.285714285714286,0.0,0.7142857142857143,89.0
41,2023/01/11,IN,2011911,25470,5.285714285714286,0.0,0.7142857142857143,94.0
42,2023/01/12,IN,2017978,25589,5.285714285714286,0.0,0.7142857142857143,89.0
43,2023/01/13,IN,2017978,25589,5.285714285714286,0.0,0.7142857142857143,78.0
44,2023/01/14,IN,2017978,25589,5.285714285714286,0.0,0.7142857142857143,69.0
45,2023/01/15,IN,2017978,25589,5.285714285714286,0.0,0.7142857142857143,56.0
46,2023/01/16,IN,2017978,25589,5.285714285714286,0.0,0.7142857142857143,61.0
47,2023/01/17,IN,2017978,25589,5.285714285714286,0.0,0.7142857142857143,71.0
48,2023/01/18,IN,2020938,25660,5.285714285714286,0.0,0.7142857142857143,69.0
49,2023/01/19,IN,2020938,25796,5.285714285714286,0.0,0.7142857142857143,81.0
50,2023/01/20,IN,2020938,25796,5.285714285714286,0.0,0.7142857142857143,84.0
51,2023/01/21,IN,2020938,25796,5.285714285714286,0.0,0.7142857142857143,66.0
52,2023/01/22,IN,2020938,25796,5.285714285714286,0.0,0.8571428571428571,49.0
53,2023/01/23,IN,2020938,25796,5.285714285714286,0.0,0.8571428571428571,53.0
54,2023/01/24,IN,2020938,25796,5.285714285714286,0.0,0.8571428571428571,53.0
55,2023/01/25,IN,2024969,25796,5.285714285714286,0.0,0.8571428571428571,72.0
56,2023/01/26,IN,2024969,25796,5.285714285714286,0.0,0.8571428571428571,62.0
57,2023/01/27,IN,2024969,25861,5.285714285714286,0.0,0.8571428571428571,69.0
58,2023/01/28,IN,2024969,25861,5.285714285714286,0.0,0.8571428571428571,58.0
59,2023/01/29,IN,2024969,25861,5.285714285714286,0.0,0.8571428571428571,51.0
60,2023/01/30,IN,2024969,25861,5.285714285714286,0.0,0.8571428571428571,53.0
61,2023/01/31,IN,2024969,25861,5.285714285714286,0.0,0.8571428571428571,54.0
62,2023/02/01,IN,2029459,25861,5.285714285714286,0.0,0.8571428571428571,50.0
63,2023/02/02,IN,2029459,25861,5.285714285714286,0.0,0.8571428571428571,65.0
64,2023/02/03,IN,2029459,25902,5.285714285714286,0.0,0.8571428571428571,52.0
65,2023/02/04,IN,2029459,25902,5.285714285714286,0.0,0.8571428571428571,47.0
66,2023/02/05,IN,2029459,25902,5.285714285714286,0.0,0.7142857142857143,43.0
67,2023/02/06,IN,2029459,25902,5.285714285714286,0.0,0.7142857142857143,45.0
68,2023/02/07,IN,2029459,25902,5.285714285714286,0.0,0.7142857142857143,61.0
69,2023/02/08,IN,2033879,25902,5.285714285714286,0.0,0.7142857142857143,82.0
70,2023/02/09,IN,2033879,25959,5.285714285714286,0.0,0.7142857142857143,69.0
71,2023/02/10,IN,2033879,25959,5.285714285714286,0.0,0.7142857142857143,63.0
72,2023/02/11,IN,2033879,25959,5.285714285714286,0.0,0.7142857142857143,53.0
73,2023/02/12,IN,2033879,25959,5.285714285714286,0.0,0.7142857142857143,51.0
74,2023/02/13,IN,2033879,25959,5.285714285714286,0.0,0.7142857142857143,45.0
75,2023/02/14,IN,2033879,25959,5.285714285714286,0.0,0.7142857142857143,62.0
76,2023/02/15,IN,2038725,25959,5.285714285714286,0.0,0.7142857142857143,79.0
77,2023/02/16,IN,2038725,26003,5.285714285714286,0.0,0.7142857142857143,77.0
78,2023/02/17,IN,2038725,26003,5.285714285714286,0.0,0.7142857142857143,73.0
79,2023/02/18,IN,2038725,26003,5.285714285714286,0.0,0.7142857142857143,64.0
80,2023/02/19,IN,2038725,26003,5.285714285714286,0.0,0.7142857142857143,64.0
81,2023/02/20,IN,2038725,26003,5.285714285714286,0.0,0.7142857142857143,71.0
82,2023/02/21,IN,2038725,26003,5.285714285714286,0.0,0.7142857142857143,55.0
83,2023/02/22,IN,2043069,26003,5.285714285714286,0.0,0.7142857142857143,56.0
84,2023/02/23,IN,2043069,26045,5.285714285714286,0.0,0.7142857142857143,60.0
85,2023/02/24,IN,2043069,26045,5.285714285714286,0.0,0.7142857142857143,53.0
86,2023/02/25,IN,2043069,26045,5.285714285714286,0.0,0.7142857142857143,75.0
87,2023/02/26,IN,2043069,26045,5.285714285714286,0.0,0.7142857142857143,57.0
88,2023/02/27,IN,2043069,26045,5.285714285714286,0.0,0.7142857142857143,66.0
89,2023/02/28,IN,2043069,26045,5.285714285714286,0.0,0.7142857142857143,57.0
90,2023/03/01,IN,2047622,26045,5.285714285714286,0.0,0.7142857142857143,53.0
91,2023/03/02,IN,2047622,26091,5.285714285714286,0.0,0.7142857142857143,54.0
92,2023/03/03,IN,2047622,26091,5.285714285714286,0.0,0.7142857142857143,60.0
93,2023/03/04,IN,2047622,26091,5.285714285714286,0.0,0.7142857142857143,52.0
94,2023/03/05,IN,2047622,26091,5.285714285714286,0.0,0.42857142857142855,50.0
95,2023/03/06,IN,2047622,26091,5.285714285714286,0.0,0.42857142857142855,55.0
96,2023/03/07,IN,2047622,26091,5.285714285714286,0.0,0.42857142857142855,64.0
97,2023/03/08,IN,2051104,26091,5.285714285714286,0.0,0.42857142857142855,67.0
98,2023/03/09,IN,2051104,26115,5.285714285714286,0.0,0.42857142857142855,49.0
99,2023/03/10,IN,2051104,26115,5.285714285714286,0.0,0.42857142857142855,50.0
100,2023/03/11,IN,2051104,26115,5.285714285714286,0.0,0.42857142857142855,46.0
101,2023/03/12,IN,2051104,26115,5.285714285714286,0.0,0.7142857142857143,40.0
102,2023/03/13,IN,2051104,26115,5.285714285714286,0.0,0.7142857142857143,37.0
103,2023/03/14,IN,2051104,26115,5.285714285714286,0.0,0.7142857142857143,41.0
104,2023/03/15,IN,2051104,26115,5.285714285714286,0.0,0.7142857142857143,45.0
105,2023/03/16,IN,2054532,26115,5.285714285714286,0.0,0.7142857142857143,39.0
106,2023/03/17,IN,2054532,26115,5.285714285714286,0.0,0.7142857142857143,46.0
107,2023/03/18,IN,2054532,26115,5.285714285714286,0.0,0.7142857142857143,37.0
108,2023/03/19,IN,2054532,26115,5.285714285714286,,,30.0
109,2023/03/20,IN,2054532,26115,5.285714285714286,,,57.0
110,2023/03/21,IN,2054532,26115,5.285714285714286,,,48.0
111,2023/03/22,IN,2054532,26115,5.285714285714286,,,38.0
112,2023/03/23,IN,2054533,26179,5.285714285714286,,,37.0
113,2023/03/24,IN,,26184.285714285714,5.285714285714286,,,48.0
114,2023/03/25,IN,,26189.571428571428,5.285714285714286,,,49.0
115,2023/03/26,IN,,26194.85714285714,5.285714285714286,,,32.0
116,2023/03/27,IN,,26198.85714285714,4.0,,,38.0
117,2023/03/28,IN,,26202.85714285714,4.0,,,32.0
118,2023/03/29,IN,,26206.85714285714,4.0,,,35.0
119,2023/03/30,IN,,26210.85714285714,4.0,,,45.0
120,2023/03/31,IN,,26214.85714285714,4.0,,,44.0
121,2023/04/01,IN,,26218.85714285714,4.0,,,34.0
122,2023/04/02,IN,,26222.85714285714,4.0,,,24.0
123,2023/04/03,IN,,26225.714285714283,2.857142857142857,,,45.0
