,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,KY,1639218,17591,5.857142857142857,0.0,0.0,75.0
1,2022/12/02,KY,1639218,17591,5.857142857142857,0.0,0.0,55.0
2,2022/12/03,KY,1639218,17591,5.857142857142857,0.0,0.0,66.0
3,2022/12/04,KY,1639218,17591,5.857142857142857,0.0,0.0,50.0
4,2022/12/05,KY,1644975,17617,5.857142857142857,0.0,0.0,49.0
5,2022/12/06,KY,1644975,17617,5.857142857142857,0.0,0.0,52.0
6,2022/12/07,KY,1644975,17617,5.857142857142857,0.0,0.0,65.0
7,2022/12/08,KY,1644975,17624,5.857142857142857,0.0,0.0,72.0
8,2022/12/09,KY,1644975,17624,5.857142857142857,0.0,0.0,54.0
9,2022/12/10,KY,1644975,17624,5.857142857142857,0.0,0.0,63.0
10,2022/12/11,KY,1644975,17624,5.857142857142857,0.0,0.0,59.0
11,2022/12/12,KY,1649940,17667,5.857142857142857,0.0,0.0,40.0
12,2022/12/13,KY,1650511,17667,5.857142857142857,0.0,0.0,62.0
13,2022/12/14,KY,1650511,17667,5.857142857142857,0.0,0.0,81.0
14,2022/12/15,KY,1650511,17667,5.857142857142857,0.0,0.0,75.0
15,2022/12/16,KY,1650511,17667,5.857142857142857,0.0,0.0,51.0
16,2022/12/17,KY,1650511,17667,5.857142857142857,0.0,0.0,62.0
17,2022/12/18,KY,1650511,17667,5.857142857142857,0.0,0.0,49.0
18,2022/12/19,KY,1657086,17708,5.857142857142857,0.0,0.0,59.0
19,2022/12/20,KY,1657664,17708,5.857142857142857,0.0,0.0,75.0
20,2022/12/21,KY,1650921,17708,5.857142857142857,0.0,0.0,69.0
21,2022/12/22,KY,1650921,17708,5.857142857142857,0.0,0.0,55.0
22,2022/12/23,KY,1650921,17708,5.857142857142857,0.0,0.0,66.0
23,2022/12/24,KY,1650921,17708,5.857142857142857,0.0,0.0,45.0
24,2022/12/25,KY,1650921,17708,5.857142857142857,0.0,0.0,64.0
25,2022/12/26,KY,1650921,17708,5.857142857142857,0.0,0.0,84.0
26,2022/12/27,KY,1660077,17751,5.857142857142857,0.0,0.0,103.0
27,2022/12/28,KY,1660077,17751,5.857142857142857,0.0,0.0,83.0
28,2022/12/29,KY,1660077,17751,5.857142857142857,0.0,0.0,83.0
29,2022/12/30,KY,1660077,17751,5.857142857142857,0.0,0.0,71.0
30,2022/12/31,KY,1660077,17751,5.857142857142857,0.0,0.0,89.0
31,2023/01/01,KY,1660077,17751,5.857142857142857,0.0,0.0,76.0
32,2023/01/02,KY,1660077,17751,5.857142857142857,0.0,0.0,71.0
33,2023/01/03,KY,1663609,17778,5.857142857142857,0.0,0.0,83.0
34,2023/01/04,KY,1663609,17789,5.857142857142857,0.0,0.0,84.0
35,2023/01/05,KY,1663609,17789,5.857142857142857,0.0,0.0,87.0
36,2023/01/06,KY,1663609,17789,5.857142857142857,0.0,0.0,69.0
37,2023/01/07,KY,1663609,17789,5.857142857142857,0.0,0.0,61.0
38,2023/01/08,KY,1663609,17789,5.857142857142857,0.0,0.14285714285714285,50.0
39,2023/01/09,KY,1669817,17824,5.857142857142857,0.0,0.14285714285714285,62.0
40,2023/01/10,KY,1669817,17824,5.857142857142857,0.0,0.14285714285714285,64.0
41,2023/01/11,KY,1672321,17824,5.857142857142857,0.0,0.14285714285714285,68.0
42,2023/01/12,KY,1672321,17824,5.857142857142857,0.0,0.14285714285714285,68.0
43,2023/01/13,KY,1672321,17824,5.857142857142857,0.0,0.14285714285714285,68.0
44,2023/01/14,KY,1672321,17824,5.857142857142857,0.0,0.14285714285714285,48.0
45,2023/01/15,KY,1672321,17824,5.857142857142857,0.0,0.0,40.0
46,2023/01/16,KY,1672321,17824,5.857142857142857,0.0,0.0,47.0
47,2023/01/17,KY,1680601,17883,5.857142857142857,0.0,0.0,76.0
48,2023/01/18,KY,1680601,17883,5.857142857142857,0.0,0.0,62.0
49,2023/01/19,KY,1680601,17883,5.857142857142857,0.0,0.0,47.0
50,2023/01/20,KY,1680601,17883,5.857142857142857,0.0,0.0,63.0
51,2023/01/21,KY,1680601,17883,5.857142857142857,0.0,0.0,42.0
52,2023/01/22,KY,1680601,17883,5.857142857142857,0.0,0.0,41.0
53,2023/01/23,KY,1685679,17926,5.857142857142857,0.0,0.0,46.0
54,2023/01/24,KY,1685679,17926,5.857142857142857,0.0,0.0,50.0
55,2023/01/25,KY,1685679,17926,5.857142857142857,0.0,0.0,60.0
56,2023/01/26,KY,1685679,17926,5.857142857142857,0.0,0.0,47.0
57,2023/01/27,KY,1685679,17926,5.857142857142857,0.0,0.0,58.0
58,2023/01/28,KY,1685679,17926,5.857142857142857,0.0,0.0,45.0
59,2023/01/29,KY,1685679,17926,5.857142857142857,0.0,0.0,52.0
60,2023/01/30,KY,1692590,17974,5.857142857142857,0.0,0.0,50.0
61,2023/01/31,KY,1692590,17974,5.857142857142857,0.0,0.0,53.0
62,2023/02/01,KY,1692590,17974,5.857142857142857,0.0,0.0,52.0
63,2023/02/02,KY,1692590,17974,5.857142857142857,0.0,0.0,78.0
64,2023/02/03,KY,1692590,17974,5.857142857142857,0.0,0.0,57.0
65,2023/02/04,KY,1692590,17974,5.857142857142857,0.0,0.0,55.0
66,2023/02/05,KY,1692590,17974,5.857142857142857,0.0,0.0,41.0
67,2023/02/06,KY,1698146,18020,5.857142857142857,0.0,0.0,43.0
68,2023/02/07,KY,1698146,18020,5.857142857142857,0.0,0.0,53.0
69,2023/02/08,KY,1698146,18020,5.857142857142857,0.0,0.0,55.0
70,2023/02/09,KY,1698146,18020,5.857142857142857,0.0,0.0,59.0
71,2023/02/10,KY,1698146,18020,5.857142857142857,0.0,0.0,61.0
72,2023/02/11,KY,1698146,18020,5.857142857142857,0.0,0.0,68.0
73,2023/02/12,KY,1698146,18020,5.857142857142857,0.0,0.0,53.0
74,2023/02/13,KY,1704713,18079,5.857142857142857,0.0,0.0,48.0
75,2023/02/14,KY,1704713,18079,5.857142857142857,0.0,0.0,65.0
76,2023/02/15,KY,1704713,18079,5.857142857142857,0.0,0.0,67.0
77,2023/02/16,KY,1704713,18079,5.857142857142857,0.0,0.0,55.0
78,2023/02/17,KY,1704713,18079,5.857142857142857,0.0,0.0,51.0
79,2023/02/18,KY,1704713,18079,5.857142857142857,0.0,0.0,55.0
80,2023/02/19,KY,1704713,18079,5.857142857142857,0.0,0.14285714285714285,36.0
81,2023/02/20,KY,1708442,18132,5.857142857142857,0.0,0.14285714285714285,41.0
82,2023/02/21,KY,1708442,18132,5.857142857142857,0.0,0.14285714285714285,47.0
83,2023/02/22,KY,1708442,18132,5.857142857142857,0.0,0.14285714285714285,38.0
84,2023/02/23,KY,1708442,18132,5.857142857142857,0.0,0.14285714285714285,61.0
85,2023/02/24,KY,1708442,18132,5.857142857142857,0.0,0.14285714285714285,47.0
86,2023/02/25,KY,1708442,18132,5.857142857142857,0.0,0.14285714285714285,37.0
87,2023/02/26,KY,1708442,18132,5.857142857142857,0.0,0.2857142857142857,41.0
88,2023/02/27,KY,1713220,18171,5.857142857142857,0.0,0.2857142857142857,44.0
89,2023/02/28,KY,1713220,18190,5.857142857142857,0.0,0.2857142857142857,40.0
90,2023/03/01,KY,1713220,18190,5.857142857142857,0.0,0.2857142857142857,36.0
91,2023/03/02,KY,1713220,18190,5.857142857142857,0.0,0.2857142857142857,50.0
92,2023/03/03,KY,1713220,18190,5.857142857142857,0.0,0.2857142857142857,44.0
93,2023/03/04,KY,1713220,18190,5.857142857142857,0.0,0.2857142857142857,38.0
94,2023/03/05,KY,1713220,18190,5.857142857142857,0.0,0.0,27.0
95,2023/03/06,KY,1718471,18224,5.857142857142857,0.0,0.0,42.0
96,2023/03/07,KY,1718471,18224,5.857142857142857,0.0,0.0,36.0
97,2023/03/08,KY,1718471,18224,5.857142857142857,0.0,0.0,28.0
98,2023/03/09,KY,1718471,18241,5.857142857142857,0.0,0.0,40.0
99,2023/03/10,KY,1718471,18241,5.857142857142857,0.0,0.0,21.0
100,2023/03/11,KY,1718471,18241,5.857142857142857,0.0,0.0,17.0
101,2023/03/12,KY,1718471,18241,5.857142857142857,0.0,0.14285714285714285,31.0
102,2023/03/13,KY,1721300,18286,5.857142857142857,0.0,0.14285714285714285,29.0
103,2023/03/14,KY,1721300,18286,5.857142857142857,0.0,0.14285714285714285,30.0
104,2023/03/15,KY,1721300,18286,5.857142857142857,0.0,0.14285714285714285,25.0
105,2023/03/16,KY,1721300,18286,5.857142857142857,0.0,0.14285714285714285,23.0
106,2023/03/17,KY,1721300,18286,5.857142857142857,0.0,0.14285714285714285,29.0
107,2023/03/18,KY,1721300,18286,5.857142857142857,0.0,0.14285714285714285,34.0
108,2023/03/19,KY,1721300,18286,5.857142857142857,,,27.0
109,2023/03/20,KY,1723443,18348,5.857142857142857,,,22.0
110,2023/03/21,KY,1723443,18348,5.857142857142857,,,24.0
111,2023/03/22,KY,1723443,18348,5.857142857142857,,,25.0
112,2023/03/23,KY,1723443,18348,5.857142857142857,,,28.0
113,2023/03/24,KY,,18353.85714285714,5.857142857142857,,,24.0
114,2023/03/25,KY,,18359.714285714283,5.857142857142857,,,23.0
115,2023/03/26,KY,,18365.571428571424,5.857142857142857,,,24.0
116,2023/03/27,KY,,18369.28571428571,3.7142857142857144,,,13.0
117,2023/03/28,KY,,18372.999999999996,3.7142857142857144,,,27.0
118,2023/03/29,KY,,18376.714285714283,3.7142857142857144,,,32.0
119,2023/03/30,KY,,18380.42857142857,3.7142857142857144,,,34.0
