,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,MD,1289880,15825,3.2857142857142856,0.0,0.0,85.0
1,2022/12/02,MD,1291132,15831,3.2857142857142856,0.0,0.0,80.0
2,2022/12/03,MD,1291132,15831,3.2857142857142856,0.0,0.0,62.0
3,2022/12/04,MD,1291132,15831,3.2857142857142856,0.0,0.0,54.0
4,2022/12/05,MD,1292128,15840,3.2857142857142856,0.0,0.0,90.0
5,2022/12/06,MD,1294312,15852,3.2857142857142856,0.0,0.0,78.0
6,2022/12/07,MD,1295190,15865,3.2857142857142856,0.0,0.0,88.0
7,2022/12/08,MD,1296224,15892,3.2857142857142856,0.0,0.0,76.0
8,2022/12/09,MD,1297366,15900,3.2857142857142856,0.0,0.0,95.0
9,2022/12/10,MD,1297366,15900,3.2857142857142856,0.0,0.0,67.0
10,2022/12/11,MD,1297366,15900,3.2857142857142856,0.0,0.0,72.0
11,2022/12/12,MD,1298488,15907,3.2857142857142856,0.0,0.0,53.0
12,2022/12/13,MD,1300785,15922,3.2857142857142856,0.0,0.0,92.0
13,2022/12/14,MD,1301829,15929,3.2857142857142856,0.0,0.0,82.0
14,2022/12/15,MD,1303048,15936,3.2857142857142856,0.0,0.0,89.0
15,2022/12/16,MD,1304103,15943,3.2857142857142856,0.0,0.0,92.0
16,2022/12/17,MD,1304103,15943,3.2857142857142856,0.0,0.0,103.0
17,2022/12/18,MD,1304103,15943,3.2857142857142856,0.0,0.0,101.0
18,2022/12/19,MD,1305474,15944,3.2857142857142856,0.0,0.0,93.0
19,2022/12/20,MD,1307751,15960,3.2857142857142856,0.0,0.0,106.0
20,2022/12/21,MD,1309366,15969,3.2857142857142856,0.0,0.0,99.0
21,2022/12/22,MD,1310411,15979,3.2857142857142856,0.0,0.0,108.0
22,2022/12/23,MD,1311672,15985,3.2857142857142856,0.0,0.0,109.0
23,2022/12/24,MD,1311672,15985,3.2857142857142856,0.0,0.0,105.0
24,2022/12/25,MD,1311672,15985,3.2857142857142856,0.0,0.0,91.0
25,2022/12/26,MD,1311672,15985,3.2857142857142856,0.0,0.0,96.0
26,2022/12/27,MD,1311673,15985,3.2857142857142856,0.0,0.0,117.0
27,2022/12/28,MD,1315246,16007,3.2857142857142856,0.0,0.0,148.0
28,2022/12/29,MD,1316937,16020,3.2857142857142856,0.0,0.0,106.0
29,2022/12/30,MD,1318510,16034,3.2857142857142856,0.0,0.0,116.0
30,2022/12/31,MD,1318510,16034,3.2857142857142856,0.0,0.0,131.0
31,2023/01/01,MD,1318510,16034,3.2857142857142856,0.0,0.0,110.0
32,2023/01/02,MD,1318510,16034,3.2857142857142856,0.0,0.0,119.0
33,2023/01/03,MD,1319791,16041,3.2857142857142856,0.0,0.0,99.0
34,2023/01/04,MD,1323217,16088,3.2857142857142856,0.0,0.0,144.0
35,2023/01/05,MD,1324550,16101,3.2857142857142856,0.0,0.0,140.0
36,2023/01/06,MD,1325973,16114,3.2857142857142856,0.0,0.0,126.0
37,2023/01/07,MD,1325973,16114,3.2857142857142856,0.0,0.0,102.0
38,2023/01/08,MD,1325973,16114,3.2857142857142856,0.0,0.0,77.0
39,2023/01/09,MD,1327433,16122,3.2857142857142856,0.0,0.0,104.0
40,2023/01/10,MD,1330397,16144,3.2857142857142856,0.0,0.0,105.0
41,2023/01/11,MD,1331296,16156,3.2857142857142856,0.0,0.0,112.0
42,2023/01/12,MD,1332296,16165,3.2857142857142856,0.0,0.0,102.0
