,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,MN,1713190,14094,5.142857142857143,0.0,0.0,86.0
1,2022/12/02,MN,1713190,14094,5.142857142857143,0.0,0.0,72.0
2,2022/12/03,MN,1713190,14094,5.142857142857143,0.0,0.0,79.0
3,2022/12/04,MN,1713190,14094,5.142857142857143,0.0,0.0,74.0
4,2022/12/05,MN,1713190,14094,5.142857142857143,0.0,0.0,62.0
5,2022/12/06,MN,1713190,14094,5.142857142857143,0.0,0.0,98.0
6,2022/12/07,MN,1713190,14094,5.142857142857143,0.0,0.0,80.0
7,2022/12/08,MN,1719549,14155,5.142857142857143,0.0,0.0,70.0
8,2022/12/09,MN,1719549,14155,5.142857142857143,0.0,0.0,69.0
9,2022/12/10,MN,1719549,14155,5.142857142857143,0.0,0.0,72.0
10,2022/12/11,MN,1719549,14155,5.142857142857143,0.0,0.0,69.0
11,2022/12/12,MN,1719549,14155,5.142857142857143,0.0,0.0,55.0
12,2022/12/13,MN,1719549,14155,5.142857142857143,0.0,0.0,80.0
13,2022/12/14,MN,1719549,14155,5.142857142857143,0.0,0.0,75.0
14,2022/12/15,MN,1725293,14220,5.142857142857143,0.0,0.0,82.0
15,2022/12/16,MN,1725293,14220,5.142857142857143,0.0,0.0,83.0
16,2022/12/17,MN,1725293,14220,5.142857142857143,0.0,0.0,70.0
17,2022/12/18,MN,1725293,14220,5.142857142857143,0.0,0.0,67.0
18,2022/12/19,MN,1725293,14220,5.142857142857143,0.0,0.0,66.0
19,2022/12/20,MN,1725293,14220,5.142857142857143,0.0,0.0,86.0
20,2022/12/21,MN,1725293,14220,5.142857142857143,0.0,0.0,93.0
21,2022/12/22,MN,1731172,14273,5.142857142857143,0.0,0.0,86.0
22,2022/12/23,MN,1731172,14273,5.142857142857143,0.0,0.0,84.0
23,2022/12/24,MN,1731172,14273,5.142857142857143,0.0,0.0,63.0
24,2022/12/25,MN,1731172,14273,5.142857142857143,0.0,0.0,71.0
25,2022/12/26,MN,1731172,14273,5.142857142857143,0.0,0.0,70.0
26,2022/12/27,MN,1731172,14273,5.142857142857143,0.0,0.0,92.0
27,2022/12/28,MN,1731172,14273,5.142857142857143,0.0,0.0,91.0
28,2022/12/29,MN,1736893,14320,5.142857142857143,0.0,0.0,72.0
29,2022/12/30,MN,1736893,14320,5.142857142857143,0.0,0.0,84.0
30,2022/12/31,MN,1736893,14320,5.142857142857143,0.0,0.0,84.0
31,2023/01/01,MN,1736893,14320,5.142857142857143,0.0,0.2857142857142857,73.0
32,2023/01/02,MN,1736893,14320,5.142857142857143,0.0,0.2857142857142857,66.0
33,2023/01/03,MN,1736893,14320,5.142857142857143,0.0,0.2857142857142857,94.0
34,2023/01/04,MN,1736893,14320,5.142857142857143,0.0,0.2857142857142857,73.0
35,2023/01/05,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,77.0
36,2023/01/06,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,76.0
37,2023/01/07,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,81.0
38,2023/01/08,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,78.0
39,2023/01/09,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,60.0
40,2023/01/10,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,64.0
41,2023/01/11,MN,1741611,14357,5.142857142857143,0.0,0.2857142857142857,53.0
42,2023/01/12,MN,1745105,14421,5.142857142857143,0.0,0.2857142857142857,47.0
43,2023/01/13,MN,1745105,14421,5.142857142857143,0.0,0.2857142857142857,55.0
44,2023/01/14,MN,1745105,14421,5.142857142857143,0.0,0.2857142857142857,55.0
45,2023/01/15,MN,1745105,14421,5.142857142857143,0.0,0.2857142857142857,39.0
