,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,NC,3275343,28559,6.714285714285714,0.0,0.0,80.0
1,2022/12/02,NC,3275343,28559,6.714285714285714,0.0,0.0,84.0
2,2022/12/03,NC,3275343,28559,6.714285714285714,0.0,0.0,93.0
3,2022/12/04,NC,3275343,28559,6.714285714285714,0.0,0.0,79.0
4,2022/12/05,NC,3275343,28559,6.714285714285714,0.0,0.0,73.0
5,2022/12/06,NC,3275343,28559,6.714285714285714,0.0,0.0,87.0
6,2022/12/07,NC,3286948,28661,6.714285714285714,0.0,0.0,77.0
7,2022/12/08,NC,3286948,28735,6.714285714285714,0.0,0.0,85.0
8,2022/12/09,NC,3286948,28735,6.714285714285714,0.0,0.0,122.0
9,2022/12/10,NC,3286948,28735,6.714285714285714,0.0,0.0,115.0
10,2022/12/11,NC,3286948,28735,6.714285714285714,0.0,0.0,95.0
11,2022/12/12,NC,3286948,28735,6.714285714285714,0.0,0.0,89.0
12,2022/12/13,NC,3286948,28735,6.714285714285714,0.0,0.0,112.0
13,2022/12/14,NC,3300138,28760,6.714285714285714,0.0,0.0,110.0
14,2022/12/15,NC,3300138,28760,6.714285714285714,0.0,0.0,108.0
15,2022/12/16,NC,3300138,28760,6.714285714285714,0.0,0.0,121.0
16,2022/12/17,NC,3300138,28760,6.714285714285714,0.0,0.0,132.0
17,2022/12/18,NC,3300138,28760,6.714285714285714,0.0,0.0,144.0
18,2022/12/19,NC,3300138,28760,6.714285714285714,0.0,0.0,120.0
19,2022/12/20,NC,3300138,28760,6.714285714285714,0.0,0.0,137.0
20,2022/12/21,NC,3316814,28789,6.714285714285714,0.0,0.0,131.0
21,2022/12/22,NC,3316814,28789,6.714285714285714,0.0,0.0,151.0
22,2022/12/23,NC,3316814,28789,6.714285714285714,0.0,0.0,161.0
23,2022/12/24,NC,3316814,28789,6.714285714285714,0.0,0.0,161.0
24,2022/12/25,NC,3316814,28789,6.714285714285714,0.0,0.0,161.0
25,2022/12/26,NC,3316814,28789,6.714285714285714,0.0,0.0,180.0
26,2022/12/27,NC,3316814,28789,6.714285714285714,0.0,0.0,181.0
27,2022/12/28,NC,3316814,28789,6.714285714285714,0.0,0.0,175.0
28,2022/12/29,NC,3316814,28789,6.714285714285714,0.0,0.0,216.0
29,2022/12/30,NC,3316814,28789,6.714285714285714,0.0,0.0,230.0
30,2022/12/31,NC,3316814,28789,6.714285714285714,0.0,0.0,234.0
31,2023/01/01,NC,3316814,28789,6.714285714285714,0.0,1.5714285714285714,212.0
32,2023/01/02,NC,3316814,28789,6.714285714285714,0.0,1.5714285714285714,217.0
33,2023/01/03,NC,3316814,28789,6.714285714285714,0.0,1.5714285714285714,217.0
34,2023/01/04,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,206.0
35,2023/01/05,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,218.0
36,2023/01/06,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,211.0
37,2023/01/07,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,189.0
38,2023/01/08,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,151.0
39,2023/01/09,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,163.0
40,2023/01/10,NC,3359796,28917,6.714285714285714,0.0,1.5714285714285714,169.0
41,2023/01/11,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,164.0
42,2023/01/12,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,173.0
43,2023/01/13,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,183.0
44,2023/01/14,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,163.0
45,2023/01/15,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,124.0
46,2023/01/16,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,138.0
47,2023/01/17,NC,3382420,29058,6.714285714285714,0.0,1.5714285714285714,152.0
48,2023/01/18,NC,3398161,29094,6.714285714285714,0.0,1.5714285714285714,148.0
49,2023/01/19,NC,3398161,29094,6.714285714285714,0.0,1.5714285714285714,141.0
50,2023/01/20,NC,3398161,29094,6.714285714285714,0.0,1.5714285714285714,175.0
51,2023/01/21,NC,3398161,29094,6.714285714285714,0.0,1.5714285714285714,150.0
52,2023/01/22,NC,3398161,29094,6.714285714285714,0.0,1.4285714285714286,134.0
53,2023/01/23,NC,3398161,29094,6.714285714285714,0.0,1.4285714285714286,117.0
54,2023/01/24,NC,3398161,29094,6.714285714285714,0.0,1.4285714285714286,125.0
55,2023/01/25,NC,3412542,29141,6.714285714285714,0.0,1.4285714285714286,126.0
56,2023/01/26,NC,3412542,29141,6.714285714285714,0.0,1.4285714285714286,160.0
57,2023/01/27,NC,3412542,29141,6.714285714285714,0.0,1.4285714285714286,159.0
58,2023/01/28,NC,3412542,29141,6.714285714285714,0.0,1.4285714285714286,129.0
59,2023/01/29,NC,3412542,29141,6.714285714285714,0.0,1.2857142857142858,115.0
60,2023/01/30,NC,3412542,29141,6.714285714285714,0.0,1.2857142857142858,108.0
61,2023/01/31,NC,3412542,29141,6.714285714285714,0.0,1.2857142857142858,110.0
62,2023/02/01,NC,3425789,29182,6.714285714285714,0.0,1.2857142857142858,106.0
63,2023/02/02,NC,3425789,29182,6.714285714285714,0.0,1.2857142857142858,118.0
64,2023/02/03,NC,3425789,29182,6.714285714285714,0.0,1.2857142857142858,108.0
65,2023/02/04,NC,3425789,29182,6.714285714285714,0.0,1.2857142857142858,112.0
66,2023/02/05,NC,3425789,29182,6.714285714285714,0.0,1.5714285714285714,91.0
67,2023/02/06,NC,3425789,29182,6.714285714285714,0.0,1.5714285714285714,109.0
68,2023/02/07,NC,3425789,29182,6.714285714285714,0.0,1.5714285714285714,108.0
69,2023/02/08,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,126.0
70,2023/02/09,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,111.0
71,2023/02/10,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,116.0
72,2023/02/11,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,97.0
73,2023/02/12,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,80.0
74,2023/02/13,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,88.0
75,2023/02/14,NC,3438259,29279,6.714285714285714,0.0,1.5714285714285714,95.0
76,2023/02/15,NC,3449973,29326,6.714285714285714,0.0,1.5714285714285714,96.0
77,2023/02/16,NC,3449973,29326,6.714285714285714,0.0,1.5714285714285714,108.0
78,2023/02/17,NC,3449973,29326,6.714285714285714,0.0,1.5714285714285714,119.0
79,2023/02/18,NC,3449973,29326,6.714285714285714,0.0,1.5714285714285714,128.0
80,2023/02/19,NC,3449973,29326,6.714285714285714,0.0,2.0,92.0
81,2023/02/20,NC,3449973,29326,6.714285714285714,0.0,2.0,83.0
82,2023/02/21,NC,3449973,29326,6.714285714285714,0.0,2.0,104.0
83,2023/02/22,NC,3459600,29365,6.714285714285714,0.0,2.0,101.0
84,2023/02/23,NC,3459600,29365,6.714285714285714,0.0,2.0,112.0
85,2023/02/24,NC,3459600,29365,6.714285714285714,0.0,2.0,101.0
86,2023/02/25,NC,3459600,29365,6.714285714285714,0.0,2.0,86.0
87,2023/02/26,NC,3459600,29365,6.714285714285714,0.0,2.0,87.0
88,2023/02/27,NC,3459600,29365,6.714285714285714,0.0,2.0,82.0
89,2023/02/28,NC,3459600,29519,6.714285714285714,0.0,2.0,100.0
90,2023/03/01,NC,3467226,29550,6.714285714285714,0.0,2.0,96.0
91,2023/03/02,NC,3467226,29550,6.714285714285714,0.0,2.0,74.0
92,2023/03/03,NC,3467226,29550,6.714285714285714,0.0,2.0,84.0
93,2023/03/04,NC,3467226,29550,6.714285714285714,0.0,2.0,64.0
94,2023/03/05,NC,3467226,29550,6.714285714285714,0.0,1.5714285714285714,62.0
95,2023/03/06,NC,3467226,29550,6.714285714285714,0.0,1.5714285714285714,68.0
96,2023/03/07,NC,3467226,29550,6.714285714285714,0.0,1.5714285714285714,59.0
97,2023/03/08,NC,3472644,29576,6.714285714285714,0.0,1.5714285714285714,59.0
