,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,NH,361607,2821,0.5714285714285714,0.0,0.0,19.0
1,2022/12/02,NH,361890,2823,0.5714285714285714,0.0,0.0,10.0
2,2022/12/03,NH,361890,2823,0.5714285714285714,0.0,0.0,18.0
3,2022/12/04,NH,361890,2823,0.5714285714285714,0.0,0.0,11.0
4,2022/12/05,NH,362244,2824,0.5714285714285714,0.0,0.0,10.0
5,2022/12/06,NH,362377,2827,0.5714285714285714,0.0,0.0,11.0
6,2022/12/07,NH,362649,2828,0.5714285714285714,0.0,0.0,9.0
7,2022/12/08,NH,362824,2829,0.5714285714285714,0.0,0.0,15.0
8,2022/12/09,NH,363029,2832,0.5714285714285714,0.0,0.0,16.0
9,2022/12/10,NH,363029,2832,0.5714285714285714,0.0,0.0,15.0
10,2022/12/11,NH,363029,2832,0.5714285714285714,0.0,0.0,10.0
11,2022/12/12,NH,363480,2834,0.5714285714285714,0.0,0.0,10.0
12,2022/12/13,NH,363672,2835,0.5714285714285714,0.0,0.0,25.0
13,2022/12/14,NH,364003,2836,0.5714285714285714,0.0,0.0,28.0
14,2022/12/15,NH,364282,2839,0.5714285714285714,0.0,0.0,24.0
15,2022/12/16,NH,364531,2842,0.5714285714285714,0.0,0.0,16.0
16,2022/12/17,NH,364531,2842,0.5714285714285714,0.0,0.0,16.0
17,2022/12/18,NH,364531,2842,0.5714285714285714,0.0,0.0,20.0
18,2022/12/19,NH,365089,2843,0.5714285714285714,0.0,0.0,18.0
19,2022/12/20,NH,365206,2844,0.5714285714285714,0.0,0.0,19.0
20,2022/12/21,NH,365554,2847,0.5714285714285714,0.0,0.0,12.0
21,2022/12/22,NH,365847,2850,0.5714285714285714,0.0,0.0,23.0
22,2022/12/23,NH,366116,2851,0.5714285714285714,0.0,0.0,16.0
23,2022/12/24,NH,366116,2851,0.5714285714285714,0.0,0.0,31.0
24,2022/12/25,NH,366116,2851,0.5714285714285714,0.0,0.0,25.0
25,2022/12/26,NH,366116,2851,0.5714285714285714,0.0,0.0,9.0
26,2022/12/27,NH,366749,2851,0.5714285714285714,0.0,0.0,21.0
27,2022/12/28,NH,366952,2852,0.5714285714285714,0.0,0.0,29.0
28,2022/12/29,NH,367243,2853,0.5714285714285714,0.0,0.0,24.0
29,2022/12/30,NH,367542,2856,0.5714285714285714,0.0,0.0,31.0
30,2022/12/31,NH,367542,2856,0.5714285714285714,0.0,0.0,37.0
31,2023/01/01,NH,367542,2856,0.5714285714285714,0.0,0.2857142857142857,14.0
32,2023/01/02,NH,367542,2856,0.5714285714285714,0.0,0.2857142857142857,21.0
