,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,NM,647334,8721,2.0,0.0,0.0,27.0
1,2022/12/02,NM,647984,8721,2.0,0.0,0.0,37.0
2,2022/12/03,NM,647984,8721,2.0,0.0,0.0,26.0
3,2022/12/04,NM,647984,8721,2.0,0.0,0.0,23.0
4,2022/12/05,NM,649575,8721,2.0,0.0,0.0,26.0
5,2022/12/06,NM,650143,8726,2.0,0.0,0.0,31.0
6,2022/12/07,NM,650779,8747,2.0,0.0,0.0,30.0
7,2022/12/08,NM,651520,8754,2.0,0.0,0.0,40.0
8,2022/12/09,NM,652223,8760,2.0,0.0,0.0,24.0
9,2022/12/10,NM,652223,8760,2.0,0.0,0.0,24.0
10,2022/12/11,NM,652223,8760,2.0,0.0,0.0,28.0
11,2022/12/12,NM,653285,8764,2.0,0.0,0.0,26.0
12,2022/12/13,NM,653719,8767,2.0,0.0,0.0,27.0
13,2022/12/14,NM,654144,8773,2.0,0.0,0.0,21.0
14,2022/12/15,NM,654580,8778,2.0,0.0,0.0,22.0
15,2022/12/16,NM,655004,8779,2.0,0.0,0.0,28.0
16,2022/12/17,NM,655004,8779,2.0,0.0,0.0,12.0
17,2022/12/18,NM,655004,8779,2.0,0.0,0.0,20.0
18,2022/12/19,NM,655719,8784,2.0,0.0,0.0,15.0
19,2022/12/20,NM,656049,8789,2.0,0.0,0.0,33.0
20,2022/12/21,NM,656437,8792,2.0,0.0,0.0,19.0
21,2022/12/22,NM,656836,8794,2.0,0.0,0.0,18.0
22,2022/12/23,NM,657140,8802,2.0,0.0,0.0,19.0
23,2022/12/24,NM,657140,8802,2.0,0.0,0.0,17.0
24,2022/12/25,NM,657140,8802,2.0,0.0,0.0,23.0
25,2022/12/26,NM,657140,8802,2.0,0.0,0.0,27.0
26,2022/12/27,NM,658042,8807,2.0,0.0,0.0,20.0
27,2022/12/28,NM,658364,8807,2.0,0.0,0.0,25.0
28,2022/12/29,NM,658690,8822,2.0,0.0,0.0,22.0
29,2022/12/30,NM,659056,8828,2.0,0.0,0.0,30.0
30,2022/12/31,NM,659056,8828,2.0,0.0,0.0,21.0
31,2023/01/01,NM,659056,8828,2.0,0.0,0.8571428571428571,21.0
32,2023/01/02,NM,659056,8828,2.0,0.0,0.8571428571428571,3.0
33,2023/01/03,NM,659888,8829,2.0,0.0,0.8571428571428571,17.0
34,2023/01/04,NM,660146,8852,2.0,0.0,0.8571428571428571,20.0
35,2023/01/05,NM,660424,8863,2.0,0.0,0.8571428571428571,18.0
36,2023/01/06,NM,660725,8870,2.0,0.0,0.8571428571428571,10.0
37,2023/01/07,NM,660725,8870,2.0,0.0,0.8571428571428571,12.0
38,2023/01/08,NM,660725,8870,2.0,0.0,1.0,19.0
39,2023/01/09,NM,661319,8876,2.0,0.0,1.0,10.0
40,2023/01/10,NM,661596,8880,2.0,0.0,1.0,24.0
41,2023/01/11,NM,661843,8883,2.0,0.0,1.0,12.0
42,2023/01/12,NM,662084,8898,2.0,0.0,1.0,15.0
43,2023/01/13,NM,662301,8910,2.0,0.0,1.0,15.0
44,2023/01/14,NM,662301,8910,2.0,0.0,1.0,16.0
45,2023/01/15,NM,662301,8910,2.0,0.0,1.1428571428571428,12.0
46,2023/01/16,NM,662301,8910,2.0,0.0,1.1428571428571428,15.0
47,2023/01/17,NM,662782,8913,2.0,0.0,1.1428571428571428,8.0
48,2023/01/18,NM,662967,8919,2.0,0.0,1.1428571428571428,19.0
49,2023/01/19,NM,663132,8924,2.0,0.0,1.1428571428571428,18.0
50,2023/01/20,NM,663299,8935,2.0,0.0,1.1428571428571428,15.0
51,2023/01/21,NM,663299,8935,2.0,0.0,1.1428571428571428,9.0
52,2023/01/22,NM,663299,8935,2.0,0.0,1.0,7.0
53,2023/01/23,NM,663663,8940,2.0,0.0,1.0,8.0
54,2023/01/24,NM,663868,8942,2.0,0.0,1.0,18.0
55,2023/01/25,NM,664024,8947,2.0,0.0,1.0,9.0
56,2023/01/26,NM,664199,8953,2.0,0.0,1.0,21.0
57,2023/01/27,NM,664355,8957,2.0,0.0,1.0,8.0
58,2023/01/28,NM,664355,8957,2.0,0.0,1.0,15.0
59,2023/01/29,NM,664355,8957,2.0,0.0,1.0,10.0
60,2023/01/30,NM,664708,8961,2.0,0.0,1.0,17.0
61,2023/01/31,NM,664838,8966,2.0,0.0,1.0,14.0
62,2023/02/01,NM,665048,8971,2.0,0.0,1.0,13.0
63,2023/02/02,NM,665237,8971,2.0,0.0,1.0,7.0
64,2023/02/03,NM,665422,8981,2.0,0.0,1.0,6.0
65,2023/02/04,NM,665422,8981,2.0,0.0,1.0,9.0
66,2023/02/05,NM,665422,8981,2.0,0.0,1.0,8.0
67,2023/02/06,NM,665742,8990,2.0,0.0,1.0,11.0
68,2023/02/07,NM,665895,8998,2.0,0.0,1.0,9.0
69,2023/02/08,NM,666074,9004,2.0,0.0,1.0,13.0
70,2023/02/09,NM,666309,9009,2.0,0.0,1.0,8.0
71,2023/02/10,NM,666445,9014,2.0,0.0,1.0,12.0
72,2023/02/11,NM,666445,9014,2.0,0.0,1.0,15.0
73,2023/02/12,NM,666445,9014,2.0,0.0,1.0,9.0
74,2023/02/13,NM,666640,9017,2.0,0.0,1.0,11.0
75,2023/02/14,NM,666948,9017,2.0,0.0,1.0,12.0
76,2023/02/15,NM,667148,9017,2.0,0.0,1.0,9.0
77,2023/02/16,NM,667335,9020,2.0,0.0,1.0,12.0
78,2023/02/17,NM,667506,9025,2.0,0.0,1.0,18.0
79,2023/02/18,NM,667506,9025,2.0,0.0,1.0,17.0
80,2023/02/19,NM,667506,9025,2.0,0.0,0.8571428571428571,14.0
81,2023/02/20,NM,667506,9025,2.0,0.0,0.8571428571428571,9.0
82,2023/02/21,NM,668109,9029,2.0,0.0,0.8571428571428571,10.0
83,2023/02/22,NM,668288,9030,2.0,0.0,0.8571428571428571,17.0
84,2023/02/23,NM,668518,9033,2.0,0.0,0.8571428571428571,8.0
85,2023/02/24,NM,668677,9033,2.0,0.0,0.8571428571428571,10.0
86,2023/02/25,NM,668677,9033,2.0,0.0,0.8571428571428571,8.0
87,2023/02/26,NM,668677,9033,2.0,0.0,0.5714285714285714,18.0
88,2023/02/27,NM,669109,9039,2.0,0.0,0.5714285714285714,14.0
89,2023/02/28,NM,669298,9048,2.0,0.0,0.5714285714285714,20.0
90,2023/03/01,NM,669476,9057,2.0,0.0,0.5714285714285714,10.0
91,2023/03/02,NM,669666,9065,2.0,0.0,0.5714285714285714,11.0
92,2023/03/03,NM,669890,9066,2.0,0.0,0.5714285714285714,19.0
93,2023/03/04,NM,669890,9066,2.0,0.0,0.5714285714285714,11.0
94,2023/03/05,NM,669890,9066,2.0,0.0,0.7142857142857143,16.0
95,2023/03/06,NM,670301,9071,2.0,0.0,0.7142857142857143,19.0
96,2023/03/07,NM,670508,9073,2.0,0.0,0.7142857142857143,14.0
97,2023/03/08,NM,670688,9076,2.0,0.0,0.7142857142857143,9.0
98,2023/03/09,NM,670929,9081,2.0,0.0,0.7142857142857143,18.0
99,2023/03/10,NM,671132,9082,2.0,0.0,0.7142857142857143,12.0
100,2023/03/11,NM,671132,9082,2.0,0.0,0.7142857142857143,12.0
101,2023/03/12,NM,671132,9082,2.0,0.0,0.42857142857142855,14.0
102,2023/03/13,NM,671522,9091,2.0,0.0,0.42857142857142855,13.0
103,2023/03/14,NM,671657,9091,2.0,0.0,0.42857142857142855,23.0
104,2023/03/15,NM,671954,9092,2.0,0.0,0.42857142857142855,11.0
105,2023/03/16,NM,672200,9098,2.0,0.0,0.42857142857142855,10.0
106,2023/03/17,NM,672409,9098,2.0,0.0,0.42857142857142855,12.0
107,2023/03/18,NM,672409,9098,2.0,0.0,0.42857142857142855,4.0
108,2023/03/19,NM,672409,9098,2.0,,,10.0
109,2023/03/20,NM,672797,9098,2.0,,,9.0
110,2023/03/21,NM,672997,9098,2.0,,,19.0
111,2023/03/22,NM,673265,9109,2.0,,,20.0
112,2023/03/23,NM,673541,9110,2.0,,,18.0
113,2023/03/24,NM,,9112.0,2.0,,,14.0
114,2023/03/25,NM,,9114.0,2.0,,,16.0
115,2023/03/26,NM,,9116.0,2.0,,,13.0
116,2023/03/27,NM,,9117.285714285714,1.2857142857142858,,,18.0
117,2023/03/28,NM,,9118.571428571428,1.2857142857142858,,,13.0
118,2023/03/29,NM,,9119.857142857141,1.2857142857142858,,,17.0
119,2023/03/30,NM,,9121.142857142855,1.2857142857142858,,,19.0
120,2023/03/31,NM,,9122.428571428569,1.2857142857142858,,,11.0
121,2023/04/01,NM,,9123.714285714283,1.2857142857142858,,,15.0
122,2023/04/02,NM,,9124.999999999996,1.2857142857142858,,,13.0
123,2023/04/03,NM,,9125.85714285714,0.8571428571428571,,,11.0
124,2023/04/04,NM,,9126.714285714283,0.8571428571428571,,,20.0
125,2023/04/05,NM,,9127.571428571426,0.8571428571428571,,,21.0
126,2023/04/06,NM,,9128.428571428569,0.8571428571428571,,,14.0
127,2023/04/07,NM,,9129.285714285712,0.8571428571428571,,,12.0
128,2023/04/08,NM,,9130.142857142855,0.8571428571428571,,,15.0
129,2023/04/09,NM,,9130.999999999998,0.8571428571428571,,,12.0
130,2023/04/10,NM,,9131.999999999998,1.0,,,10.0
131,2023/04/11,NM,,9132.999999999998,1.0,,,22.0
132,2023/04/12,NM,,9133.999999999998,1.0,,,14.0
133,2023/04/13,NM,,9134.999999999998,1.0,,,10.0
134,2023/04/14,NM,,9135.999999999998,1.0,,,20.0
135,2023/04/15,NM,,9136.999999999998,1.0,,,26.0
