,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,SC,1738379,19274,3.0,0.0,0.0,53.0
1,2022/12/02,SC,1738379,19274,3.0,0.0,0.0,45.0
2,2022/12/03,SC,1738379,19274,3.0,0.0,0.0,40.0
3,2022/12/04,SC,1738379,19274,3.0,0.0,0.0,59.0
4,2022/12/05,SC,1738379,19274,3.0,0.0,0.0,51.0
5,2022/12/06,SC,1745166,19306,3.0,0.0,0.0,55.0
6,2022/12/07,SC,1745166,19306,3.0,0.0,0.0,50.0
7,2022/12/08,SC,1745166,19328,3.0,0.0,0.0,45.0
8,2022/12/09,SC,1745166,19328,3.0,0.0,0.0,53.0
9,2022/12/10,SC,1745166,19328,3.0,0.0,0.0,46.0
10,2022/12/11,SC,1745166,19328,3.0,0.0,0.0,57.0
11,2022/12/12,SC,1745166,19328,3.0,0.0,0.0,51.0
12,2022/12/13,SC,1751646,19346,3.0,0.0,0.0,64.0
13,2022/12/14,SC,1751646,19346,3.0,0.0,0.0,76.0
14,2022/12/15,SC,1751646,19346,3.0,0.0,0.0,63.0
15,2022/12/16,SC,1751646,19346,3.0,0.0,0.0,70.0
16,2022/12/17,SC,1751646,19346,3.0,0.0,0.0,53.0
17,2022/12/18,SC,1751646,19346,3.0,0.0,0.0,68.0
18,2022/12/19,SC,1751646,19346,3.0,0.0,0.0,63.0
19,2022/12/20,SC,1760204,19368,3.0,0.0,0.0,72.0
20,2022/12/21,SC,1760204,19368,3.0,0.0,0.0,82.0
21,2022/12/22,SC,1760204,19368,3.0,0.0,0.0,100.0
22,2022/12/23,SC,1760204,19368,3.0,0.0,0.0,92.0
23,2022/12/24,SC,1760204,19368,3.0,0.0,0.0,92.0
24,2022/12/25,SC,1760204,19368,3.0,0.0,0.0,87.0
25,2022/12/26,SC,1760204,19368,3.0,0.0,0.0,91.0
26,2022/12/27,SC,1770059,19385,3.0,0.0,0.0,111.0
27,2022/12/28,SC,1770059,19385,3.0,0.0,0.0,129.0
28,2022/12/29,SC,1770059,19385,3.0,0.0,0.0,115.0
29,2022/12/30,SC,1770059,19385,3.0,0.0,0.0,143.0
30,2022/12/31,SC,1770059,19385,3.0,0.0,0.0,105.0
31,2023/01/01,SC,1770059,19385,3.0,0.0,0.0,129.0
32,2023/01/02,SC,1770059,19385,3.0,0.0,0.0,112.0
33,2023/01/03,SC,1770059,19385,3.0,0.0,0.0,111.0
34,2023/01/04,SC,1780649,19426,3.0,0.0,0.0,123.0
35,2023/01/05,SC,1780649,19426,3.0,0.0,0.0,136.0
36,2023/01/06,SC,1780649,19426,3.0,0.0,0.0,133.0
37,2023/01/07,SC,1780649,19426,3.0,0.0,0.0,108.0
38,2023/01/08,SC,1780649,19426,3.0,0.0,0.14285714285714285,83.0
39,2023/01/09,SC,1780649,19426,3.0,0.0,0.14285714285714285,83.0
40,2023/01/10,SC,1791933,19538,3.0,0.0,0.14285714285714285,87.0
41,2023/01/11,SC,1791933,19538,3.0,0.0,0.14285714285714285,87.0
42,2023/01/12,SC,1791933,19538,3.0,0.0,0.14285714285714285,96.0
43,2023/01/13,SC,1791933,19538,3.0,0.0,0.14285714285714285,84.0
44,2023/01/14,SC,1791933,19538,3.0,0.0,0.14285714285714285,96.0
45,2023/01/15,SC,1791933,19538,3.0,0.0,0.0,81.0
46,2023/01/16,SC,1791933,19538,3.0,0.0,0.0,79.0
47,2023/01/17,SC,1791933,19538,3.0,0.0,0.0,70.0
48,2023/01/18,SC,1799966,19609,3.0,0.0,0.0,78.0
49,2023/01/19,SC,1799966,19609,3.0,0.0,0.0,74.0
50,2023/01/20,SC,1799966,19609,3.0,0.0,0.0,73.0
51,2023/01/21,SC,1799966,19609,3.0,0.0,0.0,67.0
52,2023/01/22,SC,1799966,19609,3.0,0.0,0.0,58.0
53,2023/01/23,SC,1799966,19609,3.0,0.0,0.0,56.0
54,2023/01/24,SC,1807019,19628,3.0,0.0,0.0,65.0
55,2023/01/25,SC,1807019,19628,3.0,0.0,0.0,62.0
56,2023/01/26,SC,1807019,19628,3.0,0.0,0.0,56.0
57,2023/01/27,SC,1807019,19628,3.0,0.0,0.0,69.0
58,2023/01/28,SC,1807019,19628,3.0,0.0,0.0,46.0
59,2023/01/29,SC,1807019,19628,3.0,0.0,0.0,52.0
60,2023/01/30,SC,1807019,19628,3.0,0.0,0.0,48.0
61,2023/01/31,SC,1812958,19628,3.0,0.0,0.0,54.0
62,2023/02/01,SC,1812958,19628,3.0,0.0,0.0,69.0
63,2023/02/02,SC,1812958,19628,3.0,0.0,0.0,50.0
64,2023/02/03,SC,1812958,19628,3.0,0.0,0.0,56.0
65,2023/02/04,SC,1812958,19628,3.0,0.0,0.0,49.0
66,2023/02/05,SC,1812958,19628,3.0,0.0,0.0,46.0
67,2023/02/06,SC,1812958,19628,3.0,0.0,0.0,49.0
68,2023/02/07,SC,1818546,19820,3.0,0.0,0.0,46.0
69,2023/02/08,SC,1818546,19820,3.0,0.0,0.0,42.0
70,2023/02/09,SC,1818546,19820,3.0,0.0,0.0,53.0
71,2023/02/10,SC,1818546,19820,3.0,0.0,0.0,40.0
72,2023/02/11,SC,1818546,19820,3.0,0.0,0.0,54.0
73,2023/02/12,SC,1818546,19820,3.0,0.0,0.0,34.0
74,2023/02/13,SC,1818546,19820,3.0,0.0,0.0,41.0
75,2023/02/14,SC,1823413,19863,3.0,0.0,0.0,43.0
76,2023/02/15,SC,1823413,19863,3.0,0.0,0.0,38.0
77,2023/02/16,SC,1823413,19863,3.0,0.0,0.0,38.0
78,2023/02/17,SC,1823413,19863,3.0,0.0,0.0,41.0
79,2023/02/18,SC,1823413,19863,3.0,0.0,0.0,49.0
80,2023/02/19,SC,1823413,19863,3.0,0.0,0.14285714285714285,27.0
81,2023/02/20,SC,1823413,19863,3.0,0.0,0.14285714285714285,37.0
82,2023/02/21,SC,1823413,19863,3.0,0.0,0.14285714285714285,33.0
83,2023/02/22,SC,1827620,19938,3.0,0.0,0.14285714285714285,57.0
84,2023/02/23,SC,1827620,19938,3.0,0.0,0.14285714285714285,35.0
85,2023/02/24,SC,1827620,19938,3.0,0.0,0.14285714285714285,43.0
86,2023/02/25,SC,1827620,19938,3.0,0.0,0.14285714285714285,37.0
87,2023/02/26,SC,1827620,19938,3.0,0.0,0.14285714285714285,33.0
88,2023/02/27,SC,1827620,19938,3.0,0.0,0.14285714285714285,32.0
89,2023/02/28,SC,1833731,20022,3.0,0.0,0.14285714285714285,38.0
90,2023/03/01,SC,1833731,20022,3.0,0.0,0.14285714285714285,29.0
91,2023/03/02,SC,1833731,20022,3.0,0.0,0.14285714285714285,27.0
92,2023/03/03,SC,1833731,20022,3.0,0.0,0.14285714285714285,28.0
93,2023/03/04,SC,1833731,20022,3.0,0.0,0.14285714285714285,29.0
94,2023/03/05,SC,1833731,20022,3.0,0.0,0.2857142857142857,22.0
95,2023/03/06,SC,1833731,20022,3.0,0.0,0.2857142857142857,30.0
96,2023/03/07,SC,1836568,20081,3.0,0.0,0.2857142857142857,31.0
97,2023/03/08,SC,1836568,20081,3.0,0.0,0.2857142857142857,28.0
98,2023/03/09,SC,1836568,20128,3.0,0.0,0.2857142857142857,14.0
99,2023/03/10,SC,1836568,20128,3.0,0.0,0.2857142857142857,21.0
100,2023/03/11,SC,1836568,20128,3.0,0.0,0.2857142857142857,24.0
101,2023/03/12,SC,1836568,20128,3.0,0.0,0.5714285714285714,23.0
102,2023/03/13,SC,1836568,20128,3.0,0.0,0.5714285714285714,19.0
103,2023/03/14,SC,1838468,20176,3.0,0.0,0.5714285714285714,25.0
104,2023/03/15,SC,1838468,20176,3.0,0.0,0.5714285714285714,25.0
105,2023/03/16,SC,1838468,20176,3.0,0.0,0.5714285714285714,23.0
106,2023/03/17,SC,1838468,20176,3.0,0.0,0.5714285714285714,21.0
107,2023/03/18,SC,1838468,20176,3.0,0.0,0.5714285714285714,24.0
108,2023/03/19,SC,1838468,20176,3.0,,,28.0
109,2023/03/20,SC,1838468,20176,3.0,,,25.0
110,2023/03/21,SC,1840458,20192,3.0,,,18.0
111,2023/03/22,SC,1840458,20192,3.0,,,27.0
112,2023/03/23,SC,1840458,20192,3.0,,,35.0
113,2023/03/24,SC,,20195.0,3.0,,,19.0
114,2023/03/25,SC,,20198.0,3.0,,,26.0
115,2023/03/26,SC,,20201.0,3.0,,,16.0
116,2023/03/27,SC,,20203.428571428572,2.4285714285714284,,,20.0
117,2023/03/28,SC,,20205.857142857145,2.4285714285714284,,,20.0
118,2023/03/29,SC,,20208.285714285717,2.4285714285714284,,,25.0
119,2023/03/30,SC,,20210.71428571429,2.4285714285714284,,,17.0
120,2023/03/31,SC,,20213.142857142862,2.4285714285714284,,,18.0
121,2023/04/01,SC,,20215.571428571435,2.4285714285714284,,,15.0
122,2023/04/02,SC,,20218.000000000007,2.4285714285714284,,,16.0
123,2023/04/03,SC,,20220.142857142866,2.142857142857143,,,23.0
124,2023/04/04,SC,,20222.285714285725,2.142857142857143,,,29.0
125,2023/04/05,SC,,20224.428571428583,2.142857142857143,,,25.0
126,2023/04/06,SC,,20226.571428571442,2.142857142857143,,,17.0
127,2023/04/07,SC,,20228.7142857143,2.142857142857143,,,24.0
128,2023/04/08,SC,,20230.85714285716,2.142857142857143,,,17.0
129,2023/04/09,SC,,20233.00000000002,2.142857142857143,,,17.0
130,2023/04/10,SC,,20234.571428571446,1.5714285714285714,,,14.0
131,2023/04/11,SC,,20236.142857142873,1.5714285714285714,,,20.0
132,2023/04/12,SC,,20237.7142857143,1.5714285714285714,,,20.0
133,2023/04/13,SC,,20239.28571428573,1.5714285714285714,,,14.0
134,2023/04/14,SC,,20240.857142857156,1.5714285714285714,,,16.0
135,2023/04/15,SC,,20242.428571428583,1.5714285714285714,,,20.0
