,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,SD,268797,3117,1.0,0.0,0.0,9.0
1,2022/12/02,SD,268797,3117,1.0,0.0,0.0,11.0
2,2022/12/03,SD,268797,3117,1.0,0.0,0.0,10.0
3,2022/12/04,SD,268797,3117,1.0,0.0,0.0,7.0
4,2022/12/05,SD,268797,3117,1.0,0.0,0.0,8.0
5,2022/12/06,SD,268797,3117,1.0,0.0,0.0,16.0
6,2022/12/07,SD,269886,3124,1.0,0.0,0.0,10.0
7,2022/12/08,SD,269886,3126,1.0,0.0,0.0,7.0
8,2022/12/09,SD,269886,3126,1.0,0.0,0.0,12.0
9,2022/12/10,SD,269886,3126,1.0,0.0,0.0,9.0
10,2022/12/11,SD,269886,3126,1.0,0.0,0.0,16.0
11,2022/12/12,SD,269886,3126,1.0,0.0,0.0,9.0
12,2022/12/13,SD,269886,3126,1.0,0.0,0.0,12.0
13,2022/12/14,SD,270809,3135,1.0,0.0,0.0,11.0
14,2022/12/15,SD,270809,3135,1.0,0.0,0.0,10.0
15,2022/12/16,SD,270809,3135,1.0,0.0,0.0,14.0
16,2022/12/17,SD,270809,3135,1.0,0.0,0.0,11.0
17,2022/12/18,SD,270809,3135,1.0,0.0,0.0,11.0
18,2022/12/19,SD,270809,3135,1.0,0.0,0.0,8.0
19,2022/12/20,SD,270809,3135,1.0,0.0,0.0,14.0
20,2022/12/21,SD,271433,3136,1.0,0.0,0.0,11.0
21,2022/12/22,SD,271433,3136,1.0,0.0,0.0,16.0
22,2022/12/23,SD,271433,3136,1.0,0.0,0.0,9.0
23,2022/12/24,SD,271433,3136,1.0,0.0,0.0,7.0
24,2022/12/25,SD,271433,3136,1.0,0.0,0.0,11.0
25,2022/12/26,SD,271433,3136,1.0,0.0,0.0,8.0
26,2022/12/27,SD,271433,3136,1.0,0.0,0.0,10.0
27,2022/12/28,SD,271856,3138,1.0,0.0,0.0,10.0
28,2022/12/29,SD,271856,3138,1.0,0.0,0.0,5.0
29,2022/12/30,SD,271856,3138,1.0,0.0,0.0,10.0
30,2022/12/31,SD,271856,3138,1.0,0.0,0.0,7.0
31,2023/01/01,SD,271856,3138,1.0,0.0,0.14285714285714285,13.0
32,2023/01/02,SD,271856,3138,1.0,0.0,0.14285714285714285,7.0
33,2023/01/03,SD,271856,3138,1.0,0.0,0.14285714285714285,4.0
34,2023/01/04,SD,272367,3144,1.0,0.0,0.14285714285714285,7.0
35,2023/01/05,SD,272367,3144,1.0,0.0,0.14285714285714285,4.0
36,2023/01/06,SD,272367,3144,1.0,0.0,0.14285714285714285,7.0
37,2023/01/07,SD,272367,3144,1.0,0.0,0.14285714285714285,10.0
38,2023/01/08,SD,272367,3144,1.0,0.0,0.14285714285714285,6.0
39,2023/01/09,SD,272367,3144,1.0,0.0,0.14285714285714285,6.0
40,2023/01/10,SD,272367,3144,1.0,0.0,0.14285714285714285,12.0
41,2023/01/11,SD,272890,3153,1.0,0.0,0.14285714285714285,2.0
42,2023/01/12,SD,272890,3153,1.0,0.0,0.14285714285714285,6.0
43,2023/01/13,SD,272890,3153,1.0,0.0,0.14285714285714285,6.0
44,2023/01/14,SD,272890,3153,1.0,0.0,0.14285714285714285,12.0
45,2023/01/15,SD,272890,3153,1.0,0.0,0.2857142857142857,12.0
46,2023/01/16,SD,272890,3153,1.0,0.0,0.2857142857142857,4.0
47,2023/01/17,SD,272890,3153,1.0,0.0,0.2857142857142857,7.0
48,2023/01/18,SD,273354,3165,1.0,0.0,0.2857142857142857,9.0
49,2023/01/19,SD,273354,3165,1.0,0.0,0.2857142857142857,3.0
50,2023/01/20,SD,273354,3165,1.0,0.0,0.2857142857142857,10.0
51,2023/01/21,SD,273354,3165,1.0,0.0,0.2857142857142857,8.0
52,2023/01/22,SD,273354,3165,1.0,0.0,0.14285714285714285,10.0
53,2023/01/23,SD,273354,3165,1.0,0.0,0.14285714285714285,9.0
54,2023/01/24,SD,273354,3165,1.0,0.0,0.14285714285714285,10.0
55,2023/01/25,SD,273929,3169,1.0,0.0,0.14285714285714285,9.0
56,2023/01/26,SD,273929,3169,1.0,0.0,0.14285714285714285,11.0
57,2023/01/27,SD,273929,3169,1.0,0.0,0.14285714285714285,7.0
58,2023/01/28,SD,273929,3169,1.0,0.0,0.14285714285714285,11.0
59,2023/01/29,SD,273929,3169,1.0,0.0,0.14285714285714285,8.0
60,2023/01/30,SD,273929,3169,1.0,0.0,0.14285714285714285,14.0
61,2023/01/31,SD,273929,3169,1.0,0.0,0.14285714285714285,11.0
62,2023/02/01,SD,274676,3172,1.0,0.0,0.14285714285714285,11.0
63,2023/02/02,SD,274676,3172,1.0,0.0,0.14285714285714285,7.0
64,2023/02/03,SD,274676,3172,1.0,0.0,0.14285714285714285,13.0
65,2023/02/04,SD,274676,3172,1.0,0.0,0.14285714285714285,15.0
66,2023/02/05,SD,274676,3172,1.0,0.0,0.2857142857142857,11.0
67,2023/02/06,SD,274676,3172,1.0,0.0,0.2857142857142857,15.0
68,2023/02/07,SD,274676,3172,1.0,0.0,0.2857142857142857,11.0
69,2023/02/08,SD,275672,3173,1.0,0.0,0.2857142857142857,17.0
70,2023/02/09,SD,275672,3173,1.0,0.0,0.2857142857142857,13.0
71,2023/02/10,SD,275672,3173,1.0,0.0,0.2857142857142857,11.0
72,2023/02/11,SD,275672,3173,1.0,0.0,0.2857142857142857,16.0
73,2023/02/12,SD,275672,3173,1.0,0.0,0.14285714285714285,11.0
74,2023/02/13,SD,275672,3173,1.0,0.0,0.14285714285714285,18.0
75,2023/02/14,SD,275672,3173,1.0,0.0,0.14285714285714285,10.0
76,2023/02/15,SD,276655,3187,1.0,0.0,0.14285714285714285,9.0
77,2023/02/16,SD,276655,3187,1.0,0.0,0.14285714285714285,12.0
78,2023/02/17,SD,276655,3187,1.0,0.0,0.14285714285714285,10.0
79,2023/02/18,SD,276655,3187,1.0,0.0,0.14285714285714285,17.0
80,2023/02/19,SD,276655,3187,1.0,0.0,0.14285714285714285,10.0
81,2023/02/20,SD,276655,3187,1.0,0.0,0.14285714285714285,15.0
82,2023/02/21,SD,276655,3187,1.0,0.0,0.14285714285714285,24.0
83,2023/02/22,SD,277651,3195,1.0,0.0,0.14285714285714285,12.0
84,2023/02/23,SD,277651,3195,1.0,0.0,0.14285714285714285,12.0
85,2023/02/24,SD,277651,3195,1.0,0.0,0.14285714285714285,11.0
86,2023/02/25,SD,277651,3195,1.0,0.0,0.14285714285714285,8.0
87,2023/02/26,SD,277651,3195,1.0,0.0,0.14285714285714285,13.0
88,2023/02/27,SD,277651,3195,1.0,0.0,0.14285714285714285,15.0
89,2023/02/28,SD,277651,3196,1.0,0.0,0.14285714285714285,23.0
90,2023/03/01,SD,278489,3202,1.0,0.0,0.14285714285714285,16.0
91,2023/03/02,SD,278489,3202,1.0,0.0,0.14285714285714285,9.0
92,2023/03/03,SD,278489,3202,1.0,0.0,0.14285714285714285,23.0
93,2023/03/04,SD,278489,3202,1.0,0.0,0.14285714285714285,13.0
94,2023/03/05,SD,278489,3202,1.0,0.0,0.14285714285714285,13.0
95,2023/03/06,SD,278489,3202,1.0,0.0,0.14285714285714285,14.0
96,2023/03/07,SD,278489,3202,1.0,0.0,0.14285714285714285,10.0
