,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,US,98613271,1088564,223.28571428571428,0.0,0.0,4798.0
1,2022/12/02,US,98686737,1088978,223.28571428571428,0.0,0.0,4698.0
2,2022/12/03,US,98691598,1088997,223.28571428571428,0.0,0.0,4475.0
3,2022/12/04,US,98696204,1088997,223.28571428571428,0.0,0.0,4085.0
4,2022/12/05,US,98750243,1089181,223.28571428571428,0.0,0.0,4344.0
5,2022/12/06,US,98798681,1089662,223.28571428571428,0.0,0.0,5148.0
6,2022/12/07,US,98949011,1090599,223.28571428571428,0.0,0.0,5105.0
7,2022/12/08,US,99089404,1092099,223.28571428571428,0.0,0.0,4920.0
8,2022/12/09,US,99122963,1092393,223.28571428571428,0.0,0.0,4820.0
9,2022/12/10,US,99128018,1092410,223.28571428571428,0.0,0.0,4855.0
10,2022/12/11,US,99133303,1092410,223.28571428571428,0.0,0.0,4317.0
11,2022/12/12,US,99187602,1092595,223.28571428571428,0.0,0.0,4394.0
12,2022/12/13,US,99245874,1093064,223.28571428571428,0.0,0.0,5318.0
13,2022/12/14,US,99400962,1093869,223.28571428571428,0.0,0.0,5271.0
14,2022/12/15,US,99527716,1094509,223.28571428571428,0.0,0.0,5482.0
15,2022/12/16,US,99601910,1095062,223.28571428571428,0.0,0.0,5394.0
16,2022/12/17,US,99606838,1095074,223.28571428571428,0.0,0.0,5237.0
17,2022/12/18,US,99612758,1095074,223.28571428571428,0.0,0.0,4735.0
18,2022/12/19,US,99669991,1095297,223.28571428571428,0.0,0.0,4728.0
19,2022/12/20,US,99726822,1095749,223.28571428571428,0.0,0.0,5652.0
20,2022/12/21,US,99907293,1096760,223.28571428571428,0.0,0.0,5578.0
21,2022/12/22,US,100055824,1097361,223.28571428571428,0.0,0.0,5700.0
22,2022/12/23,US,100087194,1097537,223.28571428571428,0.0,0.0,5532.0
23,2022/12/24,US,100092117,1097539,223.28571428571428,0.0,0.0,5220.0
24,2022/12/25,US,100095566,1097539,223.28571428571428,0.0,0.0,4798.0
25,2022/12/26,US,100104798,1097550,223.28571428571428,0.0,0.0,4744.0
26,2022/12/27,US,100190406,1097812,223.28571428571428,0.0,0.0,6072.0
27,2022/12/28,US,100313378,1098651,223.28571428571428,0.0,0.0,6727.0
28,2022/12/29,US,100423471,1099302,223.28571428571428,0.0,0.0,6822.0
29,2022/12/30,US,100456662,1099824,223.28571428571428,0.0,0.0,6813.0
30,2022/12/31,US,100462184,1099837,223.28571428571428,0.0,0.0,6519.0
31,2023/01/01,US,100447989,1099837,223.28571428571428,0.0,25.0,5677.0
32,2023/01/02,US,100458882,1099837,223.28571428571428,0.0,25.0,5644.0
33,2023/01/03,US,100535564,1100152,223.28571428571428,0.0,25.0,6308.0
34,2023/01/04,US,100743731,1102278,223.28571428571428,0.0,25.0,6492.0
35,2023/01/05,US,100859561,1102956,223.28571428571428,0.0,25.0,6379.0
36,2023/01/06,US,100969155,1103517,223.28571428571428,0.0,25.0,6271.0
37,2023/01/07,US,100972762,1103530,223.28571428571428,0.0,25.0,5551.0
38,2023/01/08,US,100978862,1103533,223.28571428571428,0.0,23.285714285714285,4941.0
39,2023/01/09,US,101023334,1103732,223.28571428571428,0.0,23.285714285714285,4852.0
40,2023/01/10,US,101067331,1104459,223.28571428571428,0.0,23.285714285714285,5452.0
41,2023/01/11,US,101225546,1105982,223.28571428571428,0.0,23.285714285714285,5430.0
42,2023/01/12,US,101322776,1106738,223.28571428571428,0.0,23.285714285714285,5209.0
43,2023/01/13,US,101353503,1107013,223.28571428571428,0.0,23.285714285714285,5053.0
44,2023/01/14,US,101357407,1107039,223.28571428571428,0.0,23.285714285714285,4810.0
45,2023/01/15,US,101361142,1107040,223.28571428571428,0.0,26.857142857142858,3998.0
46,2023/01/16,US,101369550,1107051,223.28571428571428,0.0,26.857142857142858,3894.0
47,2023/01/17,US,101428192,1107788,223.28571428571428,0.0,26.857142857142858,4588.0
48,2023/01/18,US,101573353,1109270,223.28571428571428,0.0,26.857142857142858,4569.0
49,2023/01/19,US,101641282,1110084,223.28571428571428,0.0,26.857142857142858,4479.0
50,2023/01/20,US,101724115,1111004,223.28571428571428,0.0,26.857142857142858,4416.0
51,2023/01/21,US,101726588,1111011,223.28571428571428,0.0,26.857142857142858,4074.0
52,2023/01/22,US,101731541,1111020,223.28571428571428,0.0,25.571428571428573,3428.0
53,2023/01/23,US,101763953,1111290,223.28571428571428,0.0,25.571428571428573,3452.0
54,2023/01/24,US,101795726,1111991,223.28571428571428,0.0,25.571428571428573,4138.0
55,2023/01/25,US,101909009,1113234,223.28571428571428,0.0,25.571428571428573,4156.0
56,2023/01/26,US,101987861,1114038,223.28571428571428,0.0,25.571428571428573,3909.0
57,2023/01/27,US,102002032,1114217,223.28571428571428,0.0,25.571428571428573,3864.0
58,2023/01/28,US,102004232,1114224,223.28571428571428,0.0,25.571428571428573,3716.0
59,2023/01/29,US,102008656,1114228,223.28571428571428,0.0,23.142857142857142,3293.0
60,2023/01/30,US,102039105,1114413,223.28571428571428,0.0,23.142857142857142,3279.0
61,2023/01/31,US,102070172,1115001,223.28571428571428,0.0,23.142857142857142,3778.0
62,2023/02/01,US,102179838,1115974,223.28571428571428,0.0,23.142857142857142,3749.0
63,2023/02/02,US,102247441,1116666,223.28571428571428,0.0,23.142857142857142,3728.0
64,2023/02/03,US,102311816,1117828,223.28571428571428,0.0,23.142857142857142,3633.0
65,2023/02/04,US,102314712,1117837,223.28571428571428,0.0,23.142857142857142,3532.0
66,2023/02/05,US,102317430,1117837,223.28571428571428,0.0,21.0,2998.0
67,2023/02/06,US,102342210,1118038,223.28571428571428,0.0,21.0,3226.0
68,2023/02/07,US,102374102,1118715,223.28571428571428,0.0,21.0,3791.0
69,2023/02/08,US,102486294,1119717,223.28571428571428,0.0,21.0,3817.0
70,2023/02/09,US,102555293,1120505,223.28571428571428,0.0,21.0,3757.0
71,2023/02/10,US,102569435,1120667,223.28571428571428,0.0,21.0,3706.0
72,2023/02/11,US,102571337,1120678,223.28571428571428,0.0,21.0,3620.0
73,2023/02/12,US,102574464,1120691,223.28571428571428,0.0,14.571428571428571,3014.0
74,2023/02/13,US,102598932,1120904,223.28571428571428,0.0,14.571428571428571,3054.0
75,2023/02/14,US,102626458,1121294,223.28571428571428,0.0,14.571428571428571,3661.0
76,2023/02/15,US,102729372,1122197,223.28571428571428,0.0,14.571428571428571,3758.0
77,2023/02/16,US,102799884,1122844,223.28571428571428,0.0,14.571428571428571,3696.0
78,2023/02/17,US,102845975,1123572,223.28571428571428,0.0,14.571428571428571,3552.0
79,2023/02/18,US,102850046,1123580,223.28571428571428,0.0,14.571428571428571,3396.0
80,2023/02/19,US,102852853,1123588,223.28571428571428,0.0,19.714285714285715,2996.0
81,2023/02/20,US,102861300,1123643,223.28571428571428,0.0,19.714285714285715,3023.0
82,2023/02/21,US,102890417,1123951,223.28571428571428,0.0,19.714285714285715,3628.0
83,2023/02/22,US,103017916,1124805,223.28571428571428,0.0,19.714285714285715,3463.0
84,2023/02/23,US,103082394,1125325,223.28571428571428,0.0,19.714285714285715,3369.0
85,2023/02/24,US,103093565,1125407,223.28571428571428,0.0,19.714285714285715,3243.0
86,2023/02/25,US,103095092,1125420,223.28571428571428,0.0,19.714285714285715,3144.0
