,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,UT,1059170,5110,1.0,0.0,0.0,49.0
1,2022/12/02,UT,1063566,5127,1.0,0.0,0.0,38.0
2,2022/12/03,UT,1063566,5127,1.0,0.0,0.0,35.0
3,2022/12/04,UT,1063566,5127,1.0,0.0,0.0,24.0
4,2022/12/05,UT,1063566,5127,1.0,0.0,0.0,40.0
5,2022/12/06,UT,1063566,5127,1.0,0.0,0.0,38.0
6,2022/12/07,UT,1063566,5127,1.0,0.0,0.0,28.0
7,2022/12/08,UT,1066753,5138,1.0,0.0,0.0,40.0
8,2022/12/09,UT,1066753,5138,1.0,0.0,0.0,40.0
9,2022/12/10,UT,1066753,5138,1.0,0.0,0.0,33.0
10,2022/12/11,UT,1066753,5138,1.0,0.0,0.0,26.0
11,2022/12/12,UT,1066753,5138,1.0,0.0,0.0,29.0
12,2022/12/13,UT,1066753,5138,1.0,0.0,0.0,39.0
13,2022/12/14,UT,1066753,5138,1.0,0.0,0.0,31.0
14,2022/12/15,UT,1070006,5161,1.0,0.0,0.0,36.0
15,2022/12/16,UT,1070006,5161,1.0,0.0,0.0,31.0
16,2022/12/17,UT,1070006,5161,1.0,0.0,0.0,36.0
17,2022/12/18,UT,1070006,5161,1.0,0.0,0.0,38.0
18,2022/12/19,UT,1070006,5161,1.0,0.0,0.0,26.0
19,2022/12/20,UT,1070006,5161,1.0,0.0,0.0,42.0
20,2022/12/21,UT,1070006,5161,1.0,0.0,0.0,41.0
21,2022/12/22,UT,1072888,5177,1.0,0.0,0.0,36.0
22,2022/12/23,UT,1072888,5177,1.0,0.0,0.0,36.0
23,2022/12/24,UT,1072888,5177,1.0,0.0,0.0,33.0
24,2022/12/25,UT,1072888,5177,1.0,0.0,0.0,34.0
25,2022/12/26,UT,1072888,5177,1.0,0.0,0.0,23.0
26,2022/12/27,UT,1072888,5177,1.0,0.0,0.0,42.0
27,2022/12/28,UT,1072888,5177,1.0,0.0,0.0,40.0
28,2022/12/29,UT,1075137,5187,1.0,0.0,0.0,50.0
29,2022/12/30,UT,1075137,5187,1.0,0.0,0.0,43.0
30,2022/12/31,UT,1075137,5187,1.0,0.0,0.0,34.0
31,2023/01/01,UT,1075137,5187,1.0,0.0,0.14285714285714285,37.0
32,2023/01/02,UT,1075137,5187,1.0,0.0,0.14285714285714285,32.0
33,2023/01/03,UT,1075137,5187,1.0,0.0,0.14285714285714285,33.0
34,2023/01/04,UT,1075137,5187,1.0,0.0,0.14285714285714285,36.0
35,2023/01/05,UT,1077359,5206,1.0,0.0,0.14285714285714285,38.0
36,2023/01/06,UT,1077359,5206,1.0,0.0,0.14285714285714285,31.0
37,2023/01/07,UT,1077359,5206,1.0,0.0,0.14285714285714285,35.0
38,2023/01/08,UT,1077359,5206,1.0,0.0,0.14285714285714285,22.0
39,2023/01/09,UT,1077359,5206,1.0,0.0,0.14285714285714285,12.0
40,2023/01/10,UT,1077359,5206,1.0,0.0,0.14285714285714285,32.0
41,2023/01/11,UT,1077359,5206,1.0,0.0,0.14285714285714285,27.0
42,2023/01/12,UT,1079314,5222,1.0,0.0,0.14285714285714285,28.0
43,2023/01/13,UT,1079314,5222,1.0,0.0,0.14285714285714285,28.0
44,2023/01/14,UT,1079314,5222,1.0,0.0,0.14285714285714285,24.0
45,2023/01/15,UT,1079314,5222,1.0,0.0,0.14285714285714285,18.0
46,2023/01/16,UT,1079314,5222,1.0,0.0,0.14285714285714285,10.0
47,2023/01/17,UT,1079314,5222,1.0,0.0,0.14285714285714285,15.0
48,2023/01/18,UT,1079314,5222,1.0,0.0,0.14285714285714285,14.0
49,2023/01/19,UT,1080380,5234,1.0,0.0,0.14285714285714285,19.0
50,2023/01/20,UT,1080380,5234,1.0,0.0,0.14285714285714285,18.0
51,2023/01/21,UT,1080380,5234,1.0,0.0,0.14285714285714285,16.0
52,2023/01/22,UT,1080380,5234,1.0,0.0,0.14285714285714285,12.0
53,2023/01/23,UT,1080380,5234,1.0,0.0,0.14285714285714285,20.0
54,2023/01/24,UT,1080380,5234,1.0,0.0,0.14285714285714285,24.0
55,2023/01/25,UT,1080380,5234,1.0,0.0,0.14285714285714285,18.0
56,2023/01/26,UT,1081661,5253,1.0,0.0,0.14285714285714285,18.0
57,2023/01/27,UT,1081661,5253,1.0,0.0,0.14285714285714285,12.0
58,2023/01/28,UT,1081661,5253,1.0,0.0,0.14285714285714285,21.0
59,2023/01/29,UT,1081661,5253,1.0,0.0,0.14285714285714285,13.0
60,2023/01/30,UT,1081661,5253,1.0,0.0,0.14285714285714285,8.0
61,2023/01/31,UT,1081661,5253,1.0,0.0,0.14285714285714285,12.0
62,2023/02/01,UT,1081661,5253,1.0,0.0,0.14285714285714285,13.0
63,2023/02/02,UT,1082911,5259,1.0,0.0,0.14285714285714285,18.0
64,2023/02/03,UT,1082911,5259,1.0,0.0,0.14285714285714285,15.0
65,2023/02/04,UT,1082911,5259,1.0,0.0,0.14285714285714285,17.0
66,2023/02/05,UT,1082911,5259,1.0,0.0,0.14285714285714285,13.0
67,2023/02/06,UT,1082911,5259,1.0,0.0,0.14285714285714285,16.0
68,2023/02/07,UT,1082911,5259,1.0,0.0,0.14285714285714285,17.0
69,2023/02/08,UT,1082911,5259,1.0,0.0,0.14285714285714285,20.0
70,2023/02/09,UT,1084278,5270,1.0,0.0,0.14285714285714285,19.0
71,2023/02/10,UT,1084278,5270,1.0,0.0,0.14285714285714285,24.0
72,2023/02/11,UT,1084278,5270,1.0,0.0,0.14285714285714285,18.0
73,2023/02/12,UT,1084278,5270,1.0,0.0,0.14285714285714285,14.0
74,2023/02/13,UT,1084278,5270,1.0,0.0,0.14285714285714285,22.0
75,2023/02/14,UT,1084278,5270,1.0,0.0,0.14285714285714285,25.0
76,2023/02/15,UT,1084278,5270,1.0,0.0,0.14285714285714285,25.0
