,date,state,case,death_NYTimes,death_new,death2_excess_weight,death2_excess,hosp
0,2022/12/01,VT,146777,770,0.0,0.0,0.0,4.0
1,2022/12/02,VT,146777,770,0.0,0.0,0.0,8.0
2,2022/12/03,VT,146777,770,0.0,0.0,0.0,2.0
3,2022/12/04,VT,146777,770,0.0,0.0,0.0,5.0
4,2022/12/05,VT,146777,770,0.0,0.0,0.0,4.0
5,2022/12/06,VT,146777,770,0.0,0.0,0.0,9.0
6,2022/12/07,VT,147221,781,0.0,0.0,0.0,9.0
7,2022/12/08,VT,147221,781,0.0,0.0,0.0,7.0
8,2022/12/09,VT,147221,781,0.0,0.0,0.0,12.0
9,2022/12/10,VT,147221,781,0.0,0.0,0.0,7.0
10,2022/12/11,VT,147221,781,0.0,0.0,0.0,6.0
11,2022/12/12,VT,147221,781,0.0,0.0,0.0,5.0
12,2022/12/13,VT,147221,781,0.0,0.0,0.0,7.0
13,2022/12/14,VT,147657,781,0.0,0.0,0.0,4.0
14,2022/12/15,VT,147657,781,0.0,0.0,0.0,12.0
15,2022/12/16,VT,147657,781,0.0,0.0,0.0,11.0
16,2022/12/17,VT,147657,781,0.0,0.0,0.0,7.0
17,2022/12/18,VT,147657,781,0.0,0.0,0.0,7.0
18,2022/12/19,VT,147657,781,0.0,0.0,0.0,6.0
19,2022/12/20,VT,147657,781,0.0,0.0,0.0,1.0
20,2022/12/21,VT,148031,791,0.0,0.0,0.0,7.0
21,2022/12/22,VT,148031,791,0.0,0.0,0.0,9.0
22,2022/12/23,VT,148031,791,0.0,0.0,0.0,1.0
23,2022/12/24,VT,148031,791,0.0,0.0,0.0,7.0
24,2022/12/25,VT,148031,791,0.0,0.0,0.0,9.0
25,2022/12/26,VT,148031,791,0.0,0.0,0.0,8.0
26,2022/12/27,VT,148031,791,0.0,0.0,0.0,9.0
27,2022/12/28,VT,148393,791,0.0,0.0,0.0,13.0
28,2022/12/29,VT,148393,791,0.0,0.0,0.0,4.0
29,2022/12/30,VT,148393,791,0.0,0.0,0.0,7.0
30,2022/12/31,VT,148393,791,0.0,0.0,0.0,9.0
31,2023/01/01,VT,148393,791,0.0,0.0,0.42857142857142855,6.0
32,2023/01/02,VT,148393,791,0.0,0.0,0.42857142857142855,2.0
33,2023/01/03,VT,148449,791,0.0,0.0,0.42857142857142855,5.0
34,2023/01/04,VT,148835,791,0.0,0.0,0.42857142857142855,10.0
35,2023/01/05,VT,148835,791,0.0,0.0,0.42857142857142855,7.0
36,2023/01/06,VT,148835,791,0.0,0.0,0.42857142857142855,7.0
37,2023/01/07,VT,148835,791,0.0,0.0,0.42857142857142855,2.0
38,2023/01/08,VT,148835,791,0.0,0.0,0.2857142857142857,4.0
39,2023/01/09,VT,148835,791,0.0,0.0,0.2857142857142857,5.0
40,2023/01/10,VT,148835,791,0.0,0.0,0.2857142857142857,4.0
41,2023/01/11,VT,149298,881,0.0,0.0,0.2857142857142857,4.0
42,2023/01/12,VT,149298,881,0.0,0.0,0.2857142857142857,2.0
43,2023/01/13,VT,149298,881,0.0,0.0,0.2857142857142857,6.0
44,2023/01/14,VT,149298,881,0.0,0.0,0.2857142857142857,7.0
