,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,12/01/2022,0,631222.0,1202955.0,13375968.49205329,6654090.507946708,17855207.0,0.0,0.0,0.0,0.0,0.0
1,12/02/2022,0,636664.9285714285,1208655.896825397,13422262.399368702,6677120.156186853,17898092.57936508,42885.57936507836,23029.648240144365,46293.90731541067,5700.8968253969215,5442.9285714285215
2,12/03/2022,0,642107.8571428572,1214356.7936507936,13468556.306684112,6700149.804426997,17940978.15873016,42885.579365082085,23029.648240144365,46293.90731541067,5700.896825396689,5442.928571428638
3,12/04/2022,0,647550.7857142857,1220057.6904761905,13514850.213999525,6723179.452667141,17983863.73809524,42885.57936507836,23029.648240144365,46293.907315412536,5700.8968253969215,5442.9285714285215
4,12/05/2022,0,652993.7142857143,1225758.5873015872,13561144.121314935,6746209.100907286,18026749.317460317,42885.57936507836,23029.648240144365,46293.90731541067,5700.896825396689,5442.928571428638
5,12/06/2022,0,658436.6428571428,1231459.4841269841,13607438.028630346,6769238.74914743,18069634.896825396,42885.57936507836,23029.648240144365,46293.90731541067,5700.8968253969215,5442.9285714285215
6,12/07/2022,0,663879.5714285715,1237160.380952381,13653731.935945757,6792268.397387574,18112520.476190478,42885.579365082085,23029.648240144365,46293.90731541067,5700.8968253969215,5442.928571428638
7,12/08/2022,0,669322.5,1242861.2777777778,13700025.84326117,6815298.045627719,18155406.055555556,42885.57936507836,23029.648240144365,46293.907315412536,5700.896825396689,5442.9285714285215
8,12/09/2022,0,674765.4285714285,1248562.1746031747,13746319.75057658,6838327.693867863,18198291.634920634,42885.57936507836,23029.648240144365,46293.90731541067,5700.8968253969215,5442.9285714285215
9,12/10/2022,0,680208.3571428572,1254263.0714285714,13792613.65789199,6861357.3421080075,18241177.214285713,42885.57936507836,23029.648240144365,46293.90731541067,5700.896825396689,5442.928571428638
10,12/11/2022,0,685651.2857142857,1259963.9682539683,13838907.565207401,6884386.990348152,18284062.793650795,42885.579365082085,23029.648240144365,46293.90731541067,5700.8968253969215,5442.9285714285215
11,12/12/2022,0,691094.2142857143,1265664.865079365,13885201.472522814,6907416.638588296,18326948.373015873,42885.57936507836,23029.648240144365,46293.907315412536,5700.896825396689,5442.928571428638
12,12/13/2022,0,696537.1428571428,1271365.761904762,13931495.379838225,6930446.286828441,18369833.95238095,42885.57936507836,23029.648240144365,46293.90731541067,5700.8968253969215,5442.9285714285215
13,12/14/2022,0,701980.0714285715,1277066.6587301588,13977789.287153635,6953475.935068585,18412719.53174603,42885.57936507836,23029.648240144365,46293.90731541067,5700.8968253969215,5442.928571428638
14,12/15/2022,0,707423.0,1282767.5555555555,14024083.194469046,6976505.58330873,18455605.111111112,42885.579365082085,23029.648240145296,46293.90731541067,5700.896825396689,5442.9285714285215
