,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,12/01/2022,0,0,0,0,0,0,0.0,0,0,0,0
1,12/02/2022,0,0,0,0,0,0,0.0,0,0,0,0
2,12/03/2022,0,0,0,0,0,0,0.0,0,0,0,0
3,12/04/2022,0,0,0,0,0,0,0.0,0,0,0,0
4,12/05/2022,0,0,0,0,0,0,0.0,0,0,0,0
5,12/06/2022,0,0,0,0,0,0,0.0,0,0,0,0
6,12/07/2022,0,0,0,0,0,0,0.0,0,0,0,0
7,12/08/2022,0,0,0,0,0,0,0.0,0,0,0,0
8,12/09/2022,0,0,0,0,0,0,0.0,0,0,0,0
9,12/10/2022,0,0,0,0,0,0,0.0,0,0,0,0
10,12/11/2022,0,0,0,0,0,0,0.0,0,0,0,0
11,12/12/2022,0,0,0,0,0,0,0.0,0,0,0,0
12,12/13/2022,0,0,0,0,0,0,0.0,0,0,0,0
13,12/14/2022,0,0,0,0,0,0,0.0,0,0,0,0
14,12/15/2022,0,0,0,0,0,0,0.0,0,0,0,0
15,12/16/2022,0,0,0,0,0,0,0.0,0,0,0,0
16,12/17/2022,0,0,0,0,0,0,0.0,0,0,0,0
17,12/18/2022,0,0,0,0,0,0,0.0,0,0,0,0
18,12/19/2022,0,0,0,0,0,0,0.0,0,0,0,0
19,12/20/2022,0,0,0,0,0,0,0.0,0,0,0,0
20,12/21/2022,0,0,0,0,0,0,0.0,0,0,0,0
21,12/22/2022,0,0,0,0,0,0,0.0,0,0,0,0
22,12/23/2022,0,0,0,0,0,0,0.0,0,0,0,0
23,12/24/2022,0,0,0,0,0,0,0.0,0,0,0,0
24,12/25/2022,0,0,0,0,0,0,0.0,0,0,0,0
25,12/26/2022,0,0,0,0,0,0,0.0,0,0,0,0
26,12/27/2022,0,0,0,0,0,0,0.0,0,0,0,0
27,12/28/2022,0,0,0,0,0,0,0.0,0,0,0,0
28,12/29/2022,0,0,0,0,0,0,0.0,0,0,0,0
29,12/30/2022,0,0,0,0,0,0,0.0,0,0,0,0
30,12/31/2022,0,0,0,0,0,0,0.0,0,0,0,0
31,01/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
32,01/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
33,01/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
34,01/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
35,01/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
36,01/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
37,01/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
38,01/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
39,01/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
40,01/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
41,01/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
42,01/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
43,01/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
44,01/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
45,01/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
46,01/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
47,01/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
48,01/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
49,01/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
50,01/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
51,01/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
52,01/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
53,01/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
54,01/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
55,01/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
56,01/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
57,01/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
58,01/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
59,01/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
60,01/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
61,01/31/2023,0,0,0,0,0,0,0.0,0,0,0,0
62,02/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
63,02/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
