,date,state,hosp,death
0,2022/08/08,FL,7.0,0.0
1,2022/08/09,FL,18.0,0.0
2,2022/08/10,FL,11.0,0.0
3,2022/08/11,FL,18.0,0.0
4,2022/08/12,FL,13.0,0.0
5,2022/08/13,FL,9.0,2.0
6,2022/08/14,FL,13.0,0.0
7,2022/08/15,FL,6.0,0.0
8,2022/08/16,FL,11.0,0.0
9,2022/08/17,FL,13.0,0.0
10,2022/08/18,FL,10.0,0.0
11,2022/08/19,FL,8.0,0.0
12,2022/08/20,FL,11.0,0.0
13,2022/08/21,FL,8.0,0.0
14,2022/08/22,FL,9.0,0.0
15,2022/08/23,FL,17.0,0.0
16,2022/08/24,FL,8.0,2.0
17,2022/08/25,FL,13.0,1.0
18,2022/08/26,FL,12.0,1.0
19,2022/08/27,FL,10.0,1.0
20,2022/08/28,FL,6.0,1.0
21,2022/08/29,FL,10.0,0.0
22,2022/08/30,FL,10.0,0.0
23,2022/08/31,FL,10.0,0.0
24,2022/09/01,FL,15.0,0.0
25,2022/09/02,FL,7.0,0.0
26,2022/09/03,FL,10.0,0.0
27,2022/09/04,FL,8.0,0.0
28,2022/09/05,FL,13.0,0.0
29,2022/09/06,FL,8.0,0.0
30,2022/09/07,FL,8.0,2.0
31,2022/09/08,FL,9.0,0.0
32,2022/09/09,FL,8.0,1.0
33,2022/09/10,FL,2.0,0.0
34,2022/09/11,FL,12.0,0.0
35,2022/09/12,FL,14.0,0.0
36,2022/09/13,FL,16.0,1.0
37,2022/09/14,FL,15.0,0.0
38,2022/09/15,FL,11.0,0.0
39,2022/09/16,FL,7.0,0.0
40,2022/09/17,FL,4.0,0.0
41,2022/09/18,FL,11.0,0.0
42,2022/09/19,FL,10.0,1.0
43,2022/09/20,FL,12.0,0.0
44,2022/09/21,FL,13.0,0.0
45,2022/09/22,FL,12.0,0.0
46,2022/09/23,FL,11.0,0.0
47,2022/09/24,FL,9.0,0.0
48,2022/09/25,FL,14.0,0.0
49,2022/09/26,FL,6.0,1.0
50,2022/09/27,FL,12.0,0.0
51,2022/09/28,FL,7.0,0.0
52,2022/09/29,FL,12.0,0.0
53,2022/09/30,FL,11.0,0.0
54,2022/10/01,FL,16.0,0.0
55,2022/10/02,FL,13.0,0.0
56,2022/10/03,FL,24.0,0.0
57,2022/10/04,FL,17.0,0.0
58,2022/10/05,FL,18.0,1.0
59,2022/10/06,FL,8.0,0.0
60,2022/10/07,FL,19.0,0.0
61,2022/10/08,FL,14.0,0.0
62,2022/10/09,FL,10.0,0.0
63,2022/10/10,FL,15.0,0.0
64,2022/10/11,FL,15.0,0.0
65,2022/10/12,FL,20.0,0.0
66,2022/10/13,FL,14.0,1.0
67,2022/10/14,FL,12.0,0.0
68,2022/10/15,FL,15.0,2.0
69,2022/10/16,FL,14.0,1.0
70,2022/10/17,FL,14.0,1.0
71,2022/10/18,FL,20.0,0.0
72,2022/10/19,FL,13.0,0.0
73,2022/10/20,FL,26.0,0.0
74,2022/10/21,FL,23.0,0.0
75,2022/10/22,FL,14.0,1.0
76,2022/10/23,FL,15.0,0.0
77,2022/10/24,FL,28.0,1.0
78,2022/10/25,FL,34.0,1.0
79,2022/10/26,FL,39.0,0.0
80,2022/10/27,FL,46.0,0.0
81,2022/10/28,FL,42.0,0.0
82,2022/10/29,FL,37.0,0.0
83,2022/10/30,FL,34.0,0.0
84,2022/10/31,FL,26.0,0.0
85,2022/11/01,FL,46.0,0.0
86,2022/11/02,FL,47.0,1.0
