,date,state,hosp,death
0,8/8/2022,US,58,0
1,8/9/2022,US,79,2
2,8/10/2022,US,65,3
3,8/11/2022,US,103,1
4,8/12/2022,US,91,0
5,8/13/2022,US,75,5
6,8/14/2022,US,69,1
7,8/15/2022,US,63,2
8,8/16/2022,US,87,5
9,8/17/2022,US,86,2
10,8/18/2022,US,94,5
11,8/19/2022,US,79,43
12,8/20/2022,US,81,3
13,8/21/2022,US,68,1
14,8/22/2022,US,58,2
15,8/23/2022,US,99,0
16,8/24/2022,US,77,4
17,8/25/2022,US,84,2
18,8/26/2022,US,77,1
19,8/27/2022,US,90,3
20,8/28/2022,US,86,4
21,8/29/2022,US,87,3
22,8/30/2022,US,79,3
23,8/31/2022,US,86,2
24,9/1/2022,US,86,4
25,9/2/2022,US,73,5
26,9/3/2022,US,76,1
27,9/4/2022,US,85,0
28,9/5/2022,US,80,2
29,9/6/2022,US,72,3
30,9/7/2022,US,80,4
31,9/8/2022,US,83,2
32,9/9/2022,US,95,4
33,9/10/2022,US,81,2
34,9/11/2022,US,93,2
35,9/12/2022,US,88,0
36,9/13/2022,US,91,2
37,9/14/2022,US,112,4
38,9/15/2022,US,84,6
39,9/16/2022,US,78,2
40,9/17/2022,US,65,3
41,9/18/2022,US,77,4
42,9/19/2022,US,81,2
43,9/20/2022,US,103,9
44,9/21/2022,US,89,3
45,9/22/2022,US,102,16
46,9/23/2022,US,103,2
47,9/24/2022,US,97,6
48,9/25/2022,US,116,2
49,9/26/2022,US,98,3
50,9/27/2022,US,122,5
51,9/28/2022,US,109,2
52,9/29/2022,US,137,6
53,9/30/2022,US,137,4
54,10/1/2022,US,123,5
55,10/2/2022,US,129,3
56,10/3/2022,US,166,4
57,10/4/2022,US,188,4
58,10/5/2022,US,191,3
59,10/6/2022,US,178,3
60,10/7/2022,US,190,3
61,10/8/2022,US,193,4
62,10/9/2022,US,183,4
63,10/10/2022,US,184,3
64,10/11/2022,US,223,4
65,10/12/2022,US,232,6
66,10/13/2022,US,247,4
67,10/14/2022,US,254,7
68,10/15/2022,US,239,2
69,10/16/2022,US,257,8
70,10/17/2022,US,260,10
71,10/18/2022,US,330,12
72,10/19/2022,US,325,5
73,10/20/2022,US,311,3
74,10/21/2022,US,351,0
75,10/22/2022,US,350,4
76,10/23/2022,US,391,4
77,10/24/2022,US,485,4
78,10/25/2022,US,586,3
79,10/26/2022,US,594,4
80,10/27/2022,US,659,4
81,10/28/2022,US,679,5
82,10/29/2022,US,629,7
83,10/30/2022,US,634,8
84,10/31/2022,US,733,9
85,11/1/2022,US,868,11
86,11/2/2022,US,924,10
87,11/3/2022,US,1024,4
88,11/4/2022,US,1010,4
89,11/5/2022,US,974,9
90,11/6/2022,US,896,5
91,11/7/2022,US,1112,13
92,11/8/2022,US,1270,11
93,11/9/2022,US,1258,7
94,11/10/2022,US,1244,6
95,11/11/2022,US,1291,12
96,11/12/2022,US,1304,5
97,11/13/2022,US,1228,7
98,11/14/2022,US,1324,9
99,11/15/2022,US,1523,12
100,11/16/2022,US,1591,6
101,11/17/2022,US,1700,16
102,11/18/2022,US,1756,21
103,11/19/2022,US,1650,15
