,date,state,hosp,death
0,2022/08/08,VA,7.0,0.0
1,2022/08/09,VA,7.0,0.0
2,2022/08/10,VA,3.0,0.0
3,2022/08/11,VA,8.0,0.0
4,2022/08/12,VA,4.0,0.0
5,2022/08/13,VA,3.0,0.0
6,2022/08/14,VA,1.0,0.0
7,2022/08/15,VA,2.0,0.0
8,2022/08/16,VA,3.0,0.0
9,2022/08/17,VA,4.0,0.0
10,2022/08/18,VA,2.0,0.0
11,2022/08/19,VA,5.0,0.0
12,2022/08/20,VA,2.0,0.0
13,2022/08/21,VA,3.0,0.0
14,2022/08/22,VA,2.0,0.0
15,2022/08/23,VA,6.0,0.0
16,2022/08/24,VA,3.0,0.0
17,2022/08/25,VA,3.0,0.0
18,2022/08/26,VA,5.0,0.0
19,2022/08/27,VA,2.0,0.0
20,2022/08/28,VA,3.0,0.0
21,2022/08/29,VA,8.0,0.0
22,2022/08/30,VA,7.0,0.0
23,2022/08/31,VA,5.0,0.0
24,2022/09/01,VA,2.0,0.0
25,2022/09/02,VA,2.0,0.0
26,2022/09/03,VA,2.0,0.0
27,2022/09/04,VA,3.0,0.0
28,2022/09/05,VA,3.0,0.0
29,2022/09/06,VA,5.0,0.0
30,2022/09/07,VA,4.0,0.0
31,2022/09/08,VA,0.0,0.0
32,2022/09/09,VA,3.0,1.0
33,2022/09/10,VA,2.0,0.0
34,2022/09/11,VA,3.0,0.0
35,2022/09/12,VA,7.0,0.0
36,2022/09/13,VA,2.0,0.0
37,2022/09/14,VA,5.0,0.0
38,2022/09/15,VA,4.0,0.0
39,2022/09/16,VA,3.0,0.0
40,2022/09/17,VA,3.0,0.0
41,2022/09/18,VA,3.0,0.0
42,2022/09/19,VA,1.0,0.0
43,2022/09/20,VA,0.0,0.0
44,2022/09/21,VA,3.0,0.0
45,2022/09/22,VA,4.0,0.0
46,2022/09/23,VA,3.0,0.0
47,2022/09/24,VA,2.0,0.0
48,2022/09/25,VA,5.0,0.0
49,2022/09/26,VA,1.0,0.0
50,2022/09/27,VA,4.0,0.0
51,2022/09/28,VA,4.0,0.0
52,2022/09/29,VA,7.0,0.0
53,2022/09/30,VA,6.0,0.0
54,2022/10/01,VA,2.0,0.0
55,2022/10/02,VA,6.0,0.0
56,2022/10/03,VA,3.0,0.0
57,2022/10/04,VA,4.0,0.0
58,2022/10/05,VA,15.0,0.0
59,2022/10/06,VA,7.0,0.0
60,2022/10/07,VA,6.0,0.0
61,2022/10/08,VA,7.0,0.0
62,2022/10/09,VA,8.0,0.0
63,2022/10/10,VA,7.0,0.0
64,2022/10/11,VA,7.0,0.0
65,2022/10/12,VA,9.0,0.0
66,2022/10/13,VA,14.0,0.0
67,2022/10/14,VA,3.0,0.0
68,2022/10/15,VA,5.0,0.0
69,2022/10/16,VA,7.0,0.0
70,2022/10/17,VA,10.0,0.0
71,2022/10/18,VA,14.0,0.0
72,2022/10/19,VA,13.0,1.0
73,2022/10/20,VA,11.0,0.0
74,2022/10/21,VA,16.0,0.0
75,2022/10/22,VA,6.0,0.0
76,2022/10/23,VA,19.0,1.0
77,2022/10/24,VA,17.0,0.0
78,2022/10/25,VA,28.0,0.0
79,2022/10/26,VA,34.0,1.0
80,2022/10/27,VA,22.0,0.0
81,2022/10/28,VA,22.0,1.0
82,2022/10/29,VA,30.0,0.0
83,2022/10/30,VA,33.0,2.0
84,2022/10/31,VA,40.0,0.0
85,2022/11/01,VA,40.0,0.0
86,2022/11/02,VA,59.0,1.0
87,2022/11/03,VA,48.0,0.0
88,2022/11/04,VA,47.0,0.0
89,2022/11/05,VA,40.0,0.0
90,2022/11/06,VA,41.0,1.0
91,2022/11/07,VA,44.0,0.0
92,2022/11/08,VA,51.0,0.0
93,2022/11/09,VA,56.0,0.0
94,2022/11/10,VA,49.0,0.0
95,2022/11/11,VA,49.0,0.0
96,2022/11/12,VA,49.0,0.0
97,2022/11/13,VA,41.0,0.0
98,2022/11/14,VA,29.0,0.0
99,2022/11/15,VA,45.0,1.0
100,2022/11/16,VA,42.0,0.0
101,2022/11/17,VA,37.0,1.0
102,2022/11/18,VA,36.0,1.0
103,2022/11/19,VA,32.0,0.0
104,2022/11/20,VA,52.0,0.0
105,2022/11/21,VA,51.0,1.0
106,2022/11/22,VA,44.0,0.0
107,2022/11/23,VA,52.0,0.0
108,2022/11/24,VA,63.0,0.0
109,2022/11/25,VA,59.0,0.0
110,2022/11/26,VA,75.0,3.0
111,2022/11/27,VA,96.0,0.0
112,2022/11/28,VA,87.0,1.0
113,2022/11/29,VA,85.0,0.0
114,2022/11/30,VA,57.0,1.0
115,2022/12/01,VA,57.0,0.0
116,2022/12/02,VA,71.0,1.0
117,2022/12/03,VA,46.0,0.0
118,2022/12/04,VA,66.0,1.0
119,2022/12/05,VA,55.0,1.0
120,2022/12/06,VA,66.0,0.0
121,2022/12/07,VA,46.0,1.0
122,2022/12/08,VA,47.0,0.0
123,2022/12/09,VA,49.0,0.0
124,2022/12/10,VA,39.0,1.0
125,2022/12/11,VA,36.0,1.0
126,2022/12/12,VA,38.0,1.0
127,2022/12/13,VA,52.0,0.0
128,2022/12/14,VA,32.0,1.0
129,2022/12/15,VA,41.0,0.0
130,2022/12/16,VA,53.0,1.0
131,2022/12/17,VA,35.0,1.0
132,2022/12/18,VA,34.0,0.0
133,2022/12/19,VA,41.0,1.0
134,2022/12/20,VA,43.0,1.0
135,2022/12/21,VA,41.0,0.0
136,2022/12/22,VA,33.0,0.0
137,2022/12/23,VA,37.0,0.0
138,2022/12/24,VA,40.0,0.0
139,2022/12/25,VA,39.0,2.0
140,2022/12/26,VA,43.0,1.0
141,2022/12/27,VA,35.0,0.0
142,2022/12/28,VA,51.0,0.0
143,2022/12/29,VA,43.0,0.0
144,2022/12/30,VA,38.0,0.0
145,2022/12/31,VA,31.0,0.0
146,2023/01/01,VA,39.0,1.0
147,2023/01/02,VA,37.0,2.0
148,2023/01/03,VA,34.0,0.0
149,2023/01/04,VA,33.0,0.0
150,2023/01/05,VA,38.0,1.0
151,2023/01/06,VA,32.0,1.0
152,2023/01/07,VA,20.0,1.0
153,2023/01/08,VA,17.0,0.0
154,2023/01/09,VA,22.0,1.0
155,2023/01/10,VA,18.0,0.0
156,2023/01/11,VA,24.0,0.0
157,2023/01/12,VA,18.0,0.0
158,2023/01/13,VA,13.0,1.0
159,2023/01/14,VA,7.0,0.0
160,2023/01/15,VA,10.0,0.0
161,2023/01/16,VA,7.0,0.0
162,2023/01/17,VA,13.0,0.0
163,2023/01/18,VA,12.0,0.0
164,2023/01/19,VA,12.0,1.0
165,2023/01/20,VA,7.0,0.0
166,2023/01/21,VA,11.0,0.0
167,2023/01/22,VA,10.0,1.0
168,2023/01/23,VA,10.0,0.0
169,2023/01/24,VA,7.0,0.0
170,2023/01/25,VA,8.0,0.0
171,2023/01/26,VA,9.0,0.0
172,2023/01/27,VA,11.0,0.0
173,2023/01/28,VA,5.0,0.0
174,2023/01/29,VA,7.0,0.0
175,2023/01/30,VA,6.0,0.0
176,2023/01/31,VA,7.0,1.0
177,2023/02/01,VA,7.0,0.0
178,2023/02/02,VA,13.0,0.0
179,2023/02/03,VA,9.0,1.0
180,2023/02/04,VA,13.0,0.0
181,2023/02/05,VA,9.0,0.0
182,2023/02/06,VA,7.0,0.0
183,2023/02/07,VA,15.0,0.0
184,2023/02/08,VA,6.0,0.0
185,2023/02/09,VA,8.0,0.0
186,2023/02/10,VA,10.0,0.0
187,2023/02/11,VA,9.0,0.0
188,2023/02/12,VA,8.0,0.0
189,2023/02/13,VA,7.0,0.0
190,2023/02/14,VA,7.0,0.0
191,2023/02/15,VA,10.0,0.0
192,2023/02/16,VA,11.0,0.0
193,2023/02/17,VA,6.0,0.0
194,2023/02/18,VA,8.0,0.0
195,2023/02/19,VA,5.0,0.0
196,2023/02/20,VA,11.0,0.0
197,2023/02/21,VA,14.0,1.0
198,2023/02/22,VA,5.0,0.0
199,2023/02/23,VA,10.0,0.0
200,2023/02/24,VA,10.0,0.0
201,2023/02/25,VA,6.0,1.0
202,2023/02/26,VA,6.0,0.0
203,2023/02/27,VA,8.0,0.0
204,2023/02/28,VA,7.0,0.0
205,2023/03/01,VA,6.0,0.0
206,2023/03/02,VA,14.0,0.0
207,2023/03/03,VA,8.0,0.0
208,2023/03/04,VA,8.0,0.0
209,2023/03/05,VA,5.0,0.0
210,2023/03/06,VA,11.0,0.0
211,2023/03/07,VA,5.0,0.0
212,2023/03/08,VA,6.0,0.0
213,2023/03/09,VA,4.0,0.0
214,2023/03/10,VA,3.0,0.0
215,2023/03/11,VA,6.0,0.0
216,2023/03/12,VA,10.0,0.0
217,2023/03/13,VA,9.0,0.0
218,2023/03/14,VA,8.0,0.0
219,2023/03/15,VA,8.0,0.0
220,2023/03/16,VA,8.0,0.0
221,2023/03/17,VA,10.0,0.0
222,2023/03/18,VA,7.0,0.0
223,2023/03/19,VA,9.0,0.0
224,2023/03/20,VA,3.0,0.0
225,2023/03/21,VA,3.0,0.0
226,2023/03/22,VA,9.0,0.0
227,2023/03/23,VA,6.0,0.0
228,2023/03/24,VA,9.0,0.0
229,2023/03/25,VA,11.0,0.0
230,2023/03/26,VA,10.0,1.0
231,2023/03/27,VA,8.0,1.0
232,2023/03/28,VA,10.0,1.0
233,2023/03/29,VA,6.0,2.0
234,2023/03/30,VA,8.0,0.0
235,2023/03/31,VA,4.0,0.0
236,2023/04/01,VA,3.0,0.0
237,2023/04/02,VA,7.0,0.0
238,2023/04/03,VA,4.0,1.0
239,2023/04/04,VA,8.0,0.0
240,2023/04/05,VA,13.0,0.0
241,2023/04/06,VA,5.0,1.0
242,2023/04/07,VA,11.0,0.0
243,2023/04/08,VA,6.0,0.0
244,2023/04/09,VA,8.0,0.0
245,2023/04/10,VA,7.0,0.0
246,2023/04/11,VA,4.0,0.0
247,2023/04/12,VA,8.0,0.0
248,2023/04/13,VA,5.0,0.0
249,2023/04/14,VA,2.0,1.0
250,2023/04/15,VA,1.0,1.0
251,2023/04/16,VA,2.0,0.0
252,2023/04/17,VA,3.0,0.0
253,2023/04/18,VA,9.0,0.0
254,2023/04/19,VA,9.0,0.0
255,2023/04/20,VA,10.0,0.0
256,2023/04/21,VA,8.0,0.0
257,2023/04/22,VA,4.0,0.0
258,2023/04/23,VA,4.0,0.0
259,2023/04/24,VA,6.0,0.0
260,2023/04/25,VA,2.0,0.0
261,2023/04/26,VA,4.0,1.0
262,2023/04/27,VA,2.0,0.0
263,2023/04/28,VA,6.0,0.0
264,2023/04/29,VA,7.0,0.0
265,2023/04/30,VA,12.0,0.0
266,2023/05/01,VA,6.0,0.0
267,2023/05/02,VA,12.0,0.0
268,2023/05/03,VA,7.0,1.0
269,2023/05/04,VA,5.0,0.0
270,2023/05/05,VA,5.0,0.0
271,2023/05/06,VA,5.0,0.0
272,2023/05/07,VA,7.0,0.0
273,2023/05/08,VA,0.0,0.0
274,2023/05/09,VA,7.0,0.0
275,2023/05/10,VA,9.0,0.0
276,2023/05/11,VA,5.0,0.0
277,2023/05/12,VA,7.0,0.0
278,2023/05/13,VA,9.0,0.0
279,2023/05/14,VA,2.0,0.0
280,2023/05/15,VA,4.0,0.0
281,2023/05/16,VA,6.0,0.0
282,2023/05/17,VA,4.0,0.0
283,2023/05/18,VA,9.0,0.0
284,2023/05/19,VA,3.0,0.0
285,2023/05/20,VA,7.0,0.0
286,2023/05/21,VA,9.0,0.0
287,2023/05/22,VA,6.0,0.0
288,2023/05/23,VA,5.0,0.0
289,2023/05/24,VA,6.0,1.0
290,2023/05/25,VA,12.0,0.0
291,2023/05/26,VA,7.0,0.0
292,2023/05/27,VA,5.0,0.0
293,2023/05/28,VA,5.0,1.0
294,2023/05/29,VA,4.0,0.0
295,2023/05/30,VA,5.0,0.0
296,2023/05/31,VA,6.0,0.0
297,2023/06/01,VA,6.0,0.0
298,2023/06/02,VA,7.0,0.0
299,2023/06/03,VA,3.0,0.0
300,2023/06/04,VA,3.0,0.0
301,2023/06/05,VA,5.0,0.0
302,2023/06/06,VA,3.0,0.0
303,2023/06/07,VA,1.0,0.0
304,2023/06/08,VA,3.0,0.0
305,2023/06/09,VA,5.0,0.0
306,2023/06/10,VA,7.0,0.0
307,2023/06/11,VA,2.0,0.0
308,2023/06/12,VA,4.0,0.0
309,2023/06/13,VA,5.0,0.0
310,2023/06/14,VA,5.0,0.0
311,2023/06/15,VA,3.0,0.0
312,2023/06/16,VA,3.0,0.0
313,2023/06/17,VA,5.0,0.0
314,2023/06/18,VA,0.0,0.0
315,2023/06/19,VA,3.0,0.0
316,2023/06/20,VA,3.0,0.0
317,2023/06/21,VA,5.0,0.0
318,2023/06/22,VA,4.0,0.0
319,2023/06/23,VA,6.0,0.0
320,2023/06/24,VA,1.0,0.0
321,2023/06/25,VA,4.0,0.0
322,2023/06/26,VA,7.0,0.0
323,2023/06/27,VA,4.0,0.0
324,2023/06/28,VA,9.0,0.0
325,2023/06/29,VA,7.0,0.0
326,2023/06/30,VA,5.0,0.0
327,2023/07/01,VA,3.0,0.0
328,2023/07/02,VA,3.0,0.0
329,2023/07/03,VA,3.0,0.0
330,2023/07/04,VA,4.0,0.0
331,2023/07/05,VA,9.0,0.0
332,2023/07/06,VA,8.0,0.0
333,2023/07/07,VA,7.0,1.0
334,2023/07/08,VA,5.0,0.0
335,2023/07/09,VA,6.0,0.0
