,date,school,work
1,8/8/2022,0,1
2,8/9/2022,0,1
3,8/10/2022,0,1
4,8/11/2022,0,1
5,8/12/2022,0,1
6,8/13/2022,0,0
7,8/14/2022,0,0
8,8/15/2022,0,1
9,8/16/2022,0,1
10,8/17/2022,0,1
11,8/18/2022,0,1
12,8/19/2022,0,1
13,8/20/2022,0,0
14,8/21/2022,0,0
15,8/22/2022,0,1
16,8/23/2022,0,1
17,8/24/2022,0,1
18,8/25/2022,0,1
19,8/26/2022,0,1
20,8/27/2022,0,0
21,8/28/2022,0,0
22,8/29/2022,0,1
23,8/30/2022,0,1
24,8/31/2022,0,1
25,9/1/2022,1,1
26,9/2/2022,1,1
27,9/3/2022,0,0
28,9/4/2022,0,0
29,9/5/2022,1,1
30,9/6/2022,1,1
31,9/7/2022,1,1
32,9/8/2022,1,1
33,9/9/2022,1,1
34,9/10/2022,0,0
35,9/11/2022,0,0
36,9/12/2022,1,1
37,9/13/2022,1,1
38,9/14/2022,1,1
39,9/15/2022,1,1
40,9/16/2022,1,1
41,9/17/2022,0,0
42,9/18/2022,0,0
43,9/19/2022,1,1
44,9/20/2022,1,1
45,9/21/2022,1,1
46,9/22/2022,1,1
47,9/23/2022,1,1
48,9/24/2022,0,0
49,9/25/2022,0,0
50,9/26/2022,1,1
51,9/27/2022,1,1
52,9/28/2022,1,1
53,9/29/2022,1,1
54,9/30/2022,1,1
55,10/1/2022,0,0
56,10/2/2022,0,0
57,10/3/2022,1,1
58,10/4/2022,1,1
59,10/5/2022,1,1
60,10/6/2022,1,1
61,10/7/2022,1,1
62,10/8/2022,0,0
63,10/9/2022,0,0
64,10/10/2022,1,1
65,10/11/2022,1,1
66,10/12/2022,1,1
67,10/13/2022,1,1
68,10/14/2022,1,1
69,10/15/2022,0,0
70,10/16/2022,0,0
71,10/17/2022,1,1
72,10/18/2022,1,1
73,10/19/2022,1,1
74,10/20/2022,1,1
75,10/21/2022,1,1
76,10/22/2022,0,0
77,10/23/2022,0,0
78,10/24/2022,1,1
79,10/25/2022,1,1
80,10/26/2022,1,1
81,10/27/2022,1,1
82,10/28/2022,1,1
83,10/29/2022,0,0
84,10/30/2022,0,0
85,10/31/2022,1,1
86,11/1/2022,1,1
87,11/2/2022,1,1
88,11/3/2022,1,1
89,11/4/2022,1,1
90,11/5/2022,0,0
91,11/6/2022,0,0
92,11/7/2022,1,1
93,11/8/2022,1,1
94,11/9/2022,1,1
95,11/10/2022,1,1
96,11/11/2022,1,1
97,11/12/2022,0,0
98,11/13/2022,0,0
99,11/14/2022,1,1
100,11/15/2022,1,1
101,11/16/2022,1,1
102,11/17/2022,1,1
103,11/18/2022,1,1
104,11/19/2022,0,0
105,11/20/2022,0,0
106,11/21/2022,1,1
107,11/22/2022,1,1
108,11/23/2022,1,1
109,11/24/2022,1,1
110,11/25/2022,1,1
111,11/26/2022,0,0
112,11/27/2022,0,0
113,11/28/2022,1,1
114,11/29/2022,1,1
115,11/30/2022,1,1
116,12/1/2022,1,1
117,12/2/2022,1,1
118,12/3/2022,0,0
119,12/4/2022,0,0
120,12/5/2022,1,1
121,12/6/2022,1,1
122,12/7/2022,1,1
123,12/8/2022,1,1
124,12/9/2022,1,1
125,12/10/2022,0,0
126,12/11/2022,0,0
127,12/12/2022,1,1
128,12/13/2022,1,1
129,12/14/2022,1,1
130,12/15/2022,1,1
131,12/16/2022,1,1
132,12/17/2022,0,0
133,12/18/2022,0,0
134,12/19/2022,0,1
135,12/20/2022,0,1
136,12/21/2022,0,1
137,12/22/2022,0,1
138,12/23/2022,0,1
139,12/24/2022,0,0
140,12/25/2022,0,0
141,12/26/2022,0,1
142,12/27/2022,0,1
143,12/28/2022,0,1
144,12/29/2022,0,1
145,12/30/2022,0,1
146,12/31/2022,0,0
147,1/1/2023,0,0
148,1/2/2023,0,1
149,1/3/2023,1,1
150,1/4/2023,1,1
151,1/5/2023,1,1
152,1/6/2023,1,1
153,1/7/2023,0,0
154,1/8/2023,0,0
155,1/9/2023,1,1
156,1/10/2023,1,1
157,1/11/2023,1,1
158,1/12/2023,1,1
159,1/13/2023,1,1
160,1/14/2023,0,0
161,1/15/2023,0,0
162,1/16/2023,1,1
163,1/17/2023,1,1
164,1/18/2023,1,1
165,1/19/2023,1,1
166,1/20/2023,1,1
167,1/21/2023,0,0
168,1/22/2023,0,0
169,1/23/2023,1,1
170,1/24/2023,1,1
171,1/25/2023,1,1
172,1/26/2023,1,1
