,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,0,9742.314263109782,4763.3198996687,14333.227183060659,15966.863895815062,0
1,08/09/2022,0,9742.314263109782,4763.3198996687,14333.227183060659,15966.863895815062,0
2,08/10/2022,0,9742.314263109782,4763.3198996687,14333.227183060659,15966.863895815062,0
3,08/11/2022,0,9742.314263109782,4763.3198996687,14333.227183060659,15966.863895815062,0
4,08/12/2022,0,9742.314263109782,4763.3198996687,14333.227183060659,15966.863895815062,0
5,08/13/2022,0,9742.314263109782,4763.3198996687,14333.227183060659,15966.863895815062,0
6,08/15/2022,1271.231038403137,0.0,0.0,0.0,0.0,0
7,08/16/2022,1271.231038403137,0.0,0.0,0.0,0.0,0
8,08/17/2022,1271.231038403137,0.0,0.0,0.0,0.0,0
9,08/18/2022,1271.231038403137,0.0,0.0,0.0,0.0,0
10,08/19/2022,1271.231038403137,0.0,0.0,0.0,0.0,0
11,08/20/2022,1271.231038403137,0.0,0.0,0.0,0.0,0
12,08/22/2022,2018.868044415928,1.0657652120112096,142.08572473014559,0.0,0.0,863.2712994778692
13,08/23/2022,2018.868044415928,1.0657652120112096,142.08572473014559,0.0,0.0,863.2712994778692
14,08/24/2022,2018.868044415928,1.0657652120112096,142.08572473014559,0.0,0.0,863.2712994778692
15,08/25/2022,2018.868044415928,1.0657652120112096,142.08572473014559,0.0,0.0,863.2712994778692
16,08/26/2022,2018.868044415928,1.0657652120112096,142.08572473014559,0.0,0.0,863.2712994778692
17,08/27/2022,2018.868044415928,1.0657652120112096,142.08572473014559,0.0,0.0,863.2712994778692
18,08/29/2022,2763.916978486904,1316.0657421740636,742.908606896986,2084.043276627109,607.3824769656084,5502.157971561329
19,08/30/2022,2763.916978486904,1316.0657421740636,742.908606896986,2084.043276627109,607.3824769656084,5502.157971561329
20,08/31/2022,2763.916978486904,1316.0657421740636,742.908606896986,2084.043276627109,607.3824769656084,5502.157971561329
21,09/01/2022,2763.916978486904,1316.0657421740636,742.908606896986,2084.043276627109,607.3824769656084,5502.157971561329
22,09/02/2022,2763.916978486904,1316.0657421740636,742.908606896986,2084.043276627109,607.3824769656084,5502.157971561329
23,09/03/2022,2763.916978486904,1316.0657421740636,742.908606896986,2084.043276627109,607.3824769656084,5502.157971561329
24,09/05/2022,3178.507665570029,2372.859208271712,1215.0121214896396,4444.511267318192,3144.7464929435987,6842.570407588622
25,09/06/2022,3178.507665570029,2372.859208271712,1215.0121214896396,4444.511267318192,3144.7464929435987,6842.570407588622
26,09/07/2022,3178.507665570029,2372.859208271712,1215.0121214896396,4444.511267318192,3144.7464929435987,6842.570407588622
27,09/08/2022,3178.507665570029,2372.859208271712,1215.0121214896396,4444.511267318192,3144.7464929435987,6842.570407588622
28,09/09/2022,3178.507665570029,2372.859208271712,1215.0121214896396,4444.511267318192,3144.7464929435987,6842.570407588622
29,09/10/2022,3178.507665570029,2372.859208271712,1215.0121214896396,4444.511267318192,3144.7464929435987,6842.570407588622
30,09/12/2022,4618.8989010364385,4147.750713933255,2062.763353041264,8099.831363261952,6510.018345080717,10392.25053524816
31,09/13/2022,4618.8989010364385,4147.750713933255,2062.763353041264,8099.831363261952,6510.018345080717,10392.25053524816
32,09/14/2022,4618.8989010364385,4147.750713933255,2062.763353041264,8099.831363261952,6510.018345080717,10392.25053524816
33,09/15/2022,4618.8989010364385,4147.750713933255,2062.763353041264,8099.831363261952,6510.018345080717,10392.25053524816
34,09/16/2022,4618.8989010364385,4147.750713933255,2062.763353041264,8099.831363261952,6510.018345080717,10392.25053524816
35,09/17/2022,4618.8989010364385,4147.750713933255,2062.763353041264,8099.831363261952,6510.018345080717,10392.25053524816
36,09/19/2022,5038.739060951038,4894.560940848788,2412.2132031497563,9667.948312576458,8056.704181770415,11614.852862600002
37,09/20/2022,5038.739060951038,4894.560940848788,2412.2132031497563,9667.948312576458,8056.704181770415,11614.852862600002
38,09/21/2022,5038.739060951038,4894.560940848788,2412.2132031497563,9667.948312576458,8056.704181770415,11614.852862600002
39,09/22/2022,5038.739060951038,4894.560940848788,2412.2132031497563,9667.948312576458,8056.704181770415,11614.852862600002
40,09/23/2022,5038.739060951038,4894.560940848788,2412.2132031497563,9667.948312576458,8056.704181770415,11614.852862600002
41,09/24/2022,5038.739060951038,4894.560940848788,2412.2132031497563,9667.948312576458,8056.704181770415,11614.852862600002
42,09/26/2022,5216.196035322762,5347.622714618311,2605.810618925327,10484.477959674889,9175.583591104672,12250.447938536447
43,09/27/2022,5216.196035322762,5347.622714618311,2605.810618925327,10484.477959674889,9175.583591104672,12250.447938536447
44,09/28/2022,5216.196035322762,5347.622714618311,2605.810618925327,10484.477959674889,9175.583591104672,12250.447938536447
45,09/29/2022,5216.196035322762,5347.622714618311,2605.810618925327,10484.477959674889,9175.583591104672,12250.447938536447
46,09/30/2022,5216.196035322762,5347.622714618311,2605.810618925327,10484.477959674889,9175.583591104672,12250.447938536447
47,10/01/2022,5216.196035322762,5347.622714618311,2605.810618925327,10484.477959674889,9175.583591104672,12250.447938536447
48,10/03/2022,5879.053201283383,7254.166399088424,3356.3236164257996,14024.046748724251,14857.691580586603,14479.074624882163
49,10/04/2022,5879.053201283383,7254.166399088424,3356.3236164257996,14024.046748724251,14857.691580586603,14479.074624882163
50,10/05/2022,5879.053201283383,7254.166399088424,3356.3236164257996,14024.046748724251,14857.691580586603,14479.074624882163
51,10/06/2022,5879.053201283383,7254.166399088424,3356.3236164257996,14024.046748724251,14857.691580586603,14479.074624882163
52,10/07/2022,5879.053201283383,7254.166399088424,3356.3236164257996,14024.046748724251,14857.691580586603,14479.074624882163
53,10/08/2022,5879.053201283383,7254.166399088424,3356.3236164257996,14024.046748724251,14857.691580586603,14479.074624882163
