,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,14739.68179858415,21208.965068849124,9157.215087161123,33453.05283427966,13975.185141603035,0
1,08/09/2022,14739.68179858415,21208.965068849124,9157.215087161123,33453.05283427966,13975.185141603035,0
2,08/10/2022,14739.68179858415,21208.965068849124,9157.215087161123,33453.05283427966,13975.185141603035,0
3,08/11/2022,14739.68179858415,21208.965068849124,9157.215087161123,33453.05283427966,13975.185141603035,0
4,08/12/2022,14739.68179858415,21208.965068849124,9157.215087161123,33453.05283427966,13975.185141603035,0
5,08/13/2022,14739.68179858415,21208.965068849124,9157.215087161123,33453.05283427966,13975.185141603035,0
6,08/15/2022,2539.012224171718,387.23469643314144,2434.138632010091,0.0,0.0,1475.6586522127861
7,08/16/2022,2539.012224171718,387.23469643314144,2434.138632010091,0.0,0.0,1475.6586522127861
8,08/17/2022,2539.012224171718,387.23469643314144,2434.138632010091,0.0,0.0,1475.6586522127861
9,08/18/2022,2539.012224171718,387.23469643314144,2434.138632010091,0.0,0.0,1475.6586522127861
10,08/19/2022,2539.012224171718,387.23469643314144,2434.138632010091,0.0,0.0,1475.6586522127861
11,08/20/2022,2539.012224171718,387.23469643314144,2434.138632010091,0.0,0.0,1475.6586522127861
12,08/22/2022,3182.760658002704,2521.0010300010545,2333.129280198906,0.0,690.2903094593094,5423.408138004167
13,08/23/2022,3182.760658002704,2521.0010300010545,2333.129280198906,0.0,690.2903094593094,5423.408138004167
14,08/24/2022,3182.760658002704,2521.0010300010545,2333.129280198906,0.0,690.2903094593094,5423.408138004167
15,08/25/2022,3182.760658002704,2521.0010300010545,2333.129280198906,0.0,690.2903094593094,5423.408138004167
16,08/26/2022,3182.760658002704,2521.0010300010545,2333.129280198906,0.0,690.2903094593094,5423.408138004167
17,08/27/2022,3182.760658002704,2521.0010300010545,2333.129280198906,0.0,690.2903094593094,5423.408138004167
18,08/29/2022,5011.004355898357,5050.132552047996,3288.054292314887,4037.8173025904402,4255.081249879799,9312.445360939852
19,08/30/2022,5011.004355898357,5050.132552047996,3288.054292314887,4037.8173025904402,4255.081249879799,9312.445360939852
20,08/31/2022,5011.004355898357,5050.132552047996,3288.054292314887,4037.8173025904402,4255.081249879799,9312.445360939852
21,09/01/2022,5011.004355898357,5050.132552047996,3288.054292314887,4037.8173025904402,4255.081249879799,9312.445360939852
22,09/02/2022,5011.004355898357,5050.132552047996,3288.054292314887,4037.8173025904402,4255.081249879799,9312.445360939852
23,09/03/2022,5011.004355898357,5050.132552047996,3288.054292314887,4037.8173025904402,4255.081249879799,9312.445360939852
24,09/05/2022,6205.895112109658,6876.978599050842,3845.6613804871586,8429.37372595603,7068.001124430317,11981.422589899072
25,09/06/2022,6205.895112109658,6876.978599050842,3845.6613804871586,8429.37372595603,7068.001124430317,11981.422589899072
26,09/07/2022,6205.895112109658,6876.978599050842,3845.6613804871586,8429.37372595603,7068.001124430317,11981.422589899072
27,09/08/2022,6205.895112109658,6876.978599050842,3845.6613804871586,8429.37372595603,7068.001124430317,11981.422589899072
