,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,87341.54029562087,159850.31334116292,78653.43136128427,367222.8504602737,146891.94905392197,31702.275764552218
1,08/09/2022,87341.54029562087,159850.31334116292,78653.43136128427,367222.8504602737,146891.94905392197,31702.275764552218
2,08/10/2022,87341.54029562087,159850.31334116292,78653.43136128427,367222.8504602737,146891.94905392197,31702.275764552218
3,08/11/2022,87341.54029562087,159850.31334116292,78653.43136128427,367222.8504602737,146891.94905392197,31702.275764552218
4,08/12/2022,87341.54029562087,159850.31334116292,78653.43136128427,367222.8504602737,146891.94905392197,31702.275764552218
5,08/13/2022,87341.54029562087,159850.31334116292,78653.43136128427,367222.8504602737,146891.94905392197,31702.275764552218
6,08/15/2022,36329.69177069277,3922.0333419544463,9747.146667055416,0.0,0.0,10574.679514159187
7,08/16/2022,36329.69177069277,3922.0333419544463,9747.146667055416,0.0,0.0,10574.679514159187
8,08/17/2022,36329.69177069277,3922.0333419544463,9747.146667055416,0.0,0.0,10574.679514159187
9,08/18/2022,36329.69177069277,3922.0333419544463,9747.146667055416,0.0,0.0,10574.679514159187
10,08/19/2022,36329.69177069277,3922.0333419544463,9747.146667055416,0.0,0.0,10574.679514159187
11,08/20/2022,36329.69177069277,3922.0333419544463,9747.146667055416,0.0,0.0,10574.679514159187
12,08/22/2022,38440.178938100216,27445.74413434534,17436.000809962326,0.0,12249.726772627248,61744.47005933402
13,08/23/2022,38440.178938100216,27445.74413434534,17436.000809962326,0.0,12249.726772627248,61744.47005933402
14,08/24/2022,38440.178938100216,27445.74413434534,17436.000809962326,0.0,12249.726772627248,61744.47005933402
15,08/25/2022,38440.178938100216,27445.74413434534,17436.000809962326,0.0,12249.726772627248,61744.47005933402
16,08/26/2022,38440.178938100216,27445.74413434534,17436.000809962326,0.0,12249.726772627248,61744.47005933402
17,08/27/2022,38440.178938100216,27445.74413434534,17436.000809962326,0.0,12249.726772627248,61744.47005933402
18,08/29/2022,56447.34085407776,54939.70821036078,30077.95669031859,67777.81619873866,67737.64529919082,122661.90575141294
19,08/30/2022,56447.34085407776,54939.70821036078,30077.95669031859,67777.81619873866,67737.64529919082,122661.90575141294
20,08/31/2022,56447.34085407776,54939.70821036078,30077.95669031859,67777.81619873866,67737.64529919082,122661.90575141294
21,09/01/2022,56447.34085407776,54939.70821036078,30077.95669031859,67777.81619873866,67737.64529919082,122661.90575141294
22,09/02/2022,56447.34085407776,54939.70821036078,30077.95669031859,67777.81619873866,67737.64529919082,122661.90575141294
23,09/03/2022,56447.34085407776,54939.70821036078,30077.95669031859,67777.81619873866,67737.64529919082,122661.90575141294
24,09/05/2022,67207.27213276482,74519.9011805981,38594.019661837316,125269.70780078562,110835.049412657,166218.57309740255
25,09/06/2022,67207.27213276482,74519.9011805981,38594.019661837316,125269.70780078562,110835.049412657,166218.57309740255
26,09/07/2022,67207.27213276482,74519.9011805981,38594.019661837316,125269.70780078562,110835.049412657,166218.57309740255
27,09/08/2022,67207.27213276482,74519.9011805981,38594.019661837316,125269.70780078562,110835.049412657,166218.57309740255
28,09/09/2022,67207.27213276482,74519.9011805981,38594.019661837316,125269.70780078562,110835.049412657,166218.57309740255
29,09/10/2022,67207.27213276482,74519.9011805981,38594.019661837316,125269.70780078562,110835.049412657,166218.57309740255
30,09/12/2022,99195.68094080854,117499.6888216124,59256.166322002944,220315.25336092318,187252.96369850662,262397.7890814191
31,09/13/2022,99195.68094080854,117499.6888216124,59256.166322002944,220315.25336092318,187252.96369850662,262397.7890814191
32,09/14/2022,99195.68094080854,117499.6888216124,59256.166322002944,220315.25336092318,187252.96369850662,262397.7890814191
33,09/15/2022,99195.68094080854,117499.6888216124,59256.166322002944,220315.25336092318,187252.96369850662,262397.7890814191
34,09/16/2022,99195.68094080854,117499.6888216124,59256.166322002944,220315.25336092318,187252.96369850662,262397.7890814191
35,09/17/2022,99195.68094080854,117499.6888216124,59256.166322002944,220315.25336092318,187252.96369850662,262397.7890814191
36,09/19/2022,108561.74218904132,133019.3797997063,66199.26280647145,260232.12298458014,217261.5930829853,297789.04353781353
37,09/20/2022,108561.74218904132,133019.3797997063,66199.26280647145,260232.12298458014,217261.5930829853,297789.04353781353
38,09/21/2022,108561.74218904132,133019.3797997063,66199.26280647145,260232.12298458014,217261.5930829853,297789.04353781353
39,09/22/2022,108561.74218904132,133019.3797997063,66199.26280647145,260232.12298458014,217261.5930829853,297789.04353781353
40,09/23/2022,108561.74218904132,133019.3797997063,66199.26280647145,260232.12298458014,217261.5930829853,297789.04353781353
41,09/24/2022,108561.74218904132,133019.3797997063,66199.26280647145,260232.12298458014,217261.5930829853,297789.04353781353
42,09/26/2022,112105.06615589152,141174.05518683163,69563.25818183293,282241.0203103685,234495.35572002485,317485.87150686915
43,09/27/2022,112105.06615589152,141174.05518683163,69563.25818183293,282241.0203103685,234495.35572002485,317485.87150686915
44,09/28/2022,112105.06615589152,141174.05518683163,69563.25818183293,282241.0203103685,234495.35572002485,317485.87150686915
45,09/29/2022,112105.06615589152,141174.05518683163,69563.25818183293,282241.0203103685,234495.35572002485,317485.87150686915
46,09/30/2022,112105.06615589152,141174.05518683163,69563.25818183293,282241.0203103685,234495.35572002485,317485.87150686915
47,10/01/2022,112105.06615589152,141174.05518683163,69563.25818183293,282241.0203103685,234495.35572002485,317485.87150686915
48,10/03/2022,128432.94453215382,174483.95962978472,83850.26170936905,375294.6752024966,313758.22851382685,394389.0113945157
49,10/04/2022,128432.94453215382,174483.95962978472,83850.26170936905,375294.6752024966,313758.22851382685,394389.0113945157
50,10/05/2022,128432.94453215382,174483.95962978472,83850.26170936905,375294.6752024966,313758.22851382685,394389.0113945157
51,10/06/2022,128432.94453215382,174483.95962978472,83850.26170936905,375294.6752024966,313758.22851382685,394389.0113945157
52,10/07/2022,128432.94453215382,174483.95962978472,83850.26170936905,375294.6752024966,313758.22851382685,394389.0113945157
53,10/08/2022,128432.94453215382,174483.95962978472,83850.26170936905,375294.6752024966,313758.22851382685,394389.0113945157
54,10/10/2022,151240.82606678785,212549.29472758743,100985.66203453169,479619.2917582849,395975.2308792231,478042.34438202303
55,10/11/2022,151240.82606678785,212549.29472758743,100985.66203453169,479619.2917582849,395975.2308792231,478042.34438202303
56,10/12/2022,151240.82606678785,212549.29472758743,100985.66203453169,479619.2917582849,395975.2308792231,478042.34438202303
57,10/13/2022,151240.82606678785,212549.29472758743,100985.66203453169,479619.2917582849,395975.2308792231,478042.34438202303
58,10/14/2022,151240.82606678785,212549.29472758743,100985.66203453169,479619.2917582849,395975.2308792231,478042.34438202303
59,10/15/2022,151240.82606678785,212549.29472758743,100985.66203453169,479619.2917582849,395975.2308792231,478042.34438202303
60,10/17/2022,159197.51391589956,224979.05029437118,106550.12078420605,530191.8851812971,423789.5356249411,498335.81108312024
61,10/18/2022,159197.51391589956,224979.05029437118,106550.12078420605,530191.8851812971,423789.5356249411,498335.81108312024
62,10/19/2022,159197.51391589956,224979.05029437118,106550.12078420605,530191.8851812971,423789.5356249411,498335.81108312024
63,10/20/2022,159197.51391589956,224979.05029437118,106550.12078420605,530191.8851812971,423789.5356249411,498335.81108312024
64,10/21/2022,159197.51391589956,224979.05029437118,106550.12078420605,530191.8851812971,423789.5356249411,498335.81108312024
65,10/22/2022,159197.51391589956,224979.05029437118,106550.12078420605,530191.8851812971,423789.5356249411,498335.81108312024
66,10/24/2022,146473.80474540862,202269.14519726567,96181.75138713968,508515.8945429809,377890.93746940873,431616.5256876779
67,10/25/2022,146473.80474540862,202269.14519726567,96181.75138713968,508515.8945429809,377890.93746940873,431616.5256876779
68,10/26/2022,146473.80474540862,202269.14519726567,96181.75138713968,508515.8945429809,377890.93746940873,431616.5256876779
69,10/27/2022,146473.80474540862,202269.14519726567,96181.75138713968,508515.8945429809,377890.93746940873,431616.5256876779
70,10/28/2022,146473.80474540862,202269.14519726567,96181.75138713968,508515.8945429809,377890.93746940873,431616.5256876779
71,10/29/2022,146473.80474540862,202269.14519726567,96181.75138713968,508515.8945429809,377890.93746940873,431616.5256876779
72,10/31/2022,129055.09232266912,172888.98770425873,83209.48272973267,478208.88099064585,319552.759132089,353857.8040490638
73,11/01/2022,129055.09232266912,172888.98770425873,83209.48272973267,478208.88099064585,319552.759132089,353857.8040490638
74,11/02/2022,129055.09232266912,172888.98770425873,83209.48272973267,478208.88099064585,319552.759132089,353857.8040490638
