,date,school,work,,,,
1,10/3/22,1,1,,,,
2,10/4/22,1,1,,,,
3,10/5/22,1,1,,,,
4,10/6/22,1,1,,,,
5,10/7/22,1,1,,,,
6,10/8/22,0,0,,,,
7,10/9/22,0,0,,,,
8,10/10/22,1,1,,,,
9,10/11/22,1,1,,,,
10,10/12/22,1,1,,,,
11,10/13/22,1,1,,,,
12,10/14/22,1,1,,,,
13,10/15/22,0,0,,,,
14,10/16/22,0,0,,,,
15,10/17/22,1,1,,,,
16,10/18/22,1,1,,,,
17,10/19/22,1,1,,,,
18,10/20/22,1,1,,,,
19,10/21/22,1,1,,,,
20,10/22/22,0,0,,,,
21,10/23/22,0,0,,,,
22,10/24/22,1,1,,,,
23,10/25/22,1,1,,,,
24,10/26/22,1,1,,,,
25,10/27/22,1,1,,,,
26,10/28/22,1,1,,,,
27,10/29/22,0,0,,,,
28,10/30/22,0,0,,,,
29,10/31/22,1,1,,,,
30,11/1/22,1,1,,,,
31,11/2/22,1,1,,,,
32,11/3/22,1,1,,,,
33,11/4/22,1,1,,,,
34,11/5/22,0,0,,,,
35,11/6/22,0,0,,,,
36,11/7/22,1,1,,,,
37,11/8/22,1,1,,,,
38,11/9/22,1,1,,,,
39,11/10/22,1,1,,,,
40,11/11/22,1,1,,,,
41,11/12/22,0,0,,,,
42,11/13/22,0,0,,,,
43,11/14/22,1,1,,,,
44,11/15/22,1,1,,,,
45,11/16/22,1,1,,,,
46,11/17/22,1,1,,,,
47,11/18/22,1,1,,,,
48,11/19/22,0,0,,,,
49,11/20/22,0,0,,,,
50,11/21/22,1,1,,,,
51,11/22/22,1,1,,,,
52,11/23/22,1,1,,,,
53,11/24/22,1,1,,,,
54,11/25/22,1,1,,,,
55,11/26/22,0,0,,,,
56,11/27/22,0,0,,,,
57,11/28/22,1,1,,,,
58,11/29/22,1,1,,,,
59,11/30/22,1,1,,,,
60,12/1/22,1,1,,,,
61,12/2/22,1,1,,,,
62,12/3/22,0,0,,,,
63,12/4/22,0,0,,,,
64,12/5/22,1,1,,,,
65,12/6/22,1,1,,,,
66,12/7/22,1,1,,,,
67,12/8/22,1,1,,,,
68,12/9/22,1,1,,,,
69,12/10/22,0,0,,,,
70,12/11/22,0,0,,,,
71,12/12/22,1,1,,,,
72,12/13/22,1,1,,,,
73,12/14/22,1,1,,,,
74,12/15/22,1,1,,,,
75,12/16/22,1,1,,,,
76,12/17/22,0,0,,,,
77,12/18/22,0,0,,,,
78,12/19/22,0,1,,,,
79,12/20/22,0,1,,,,
80,12/21/22,0,1,,,,
81,12/22/22,0,1,,,,
82,12/23/22,0,1,,,,
83,12/24/22,0,0,,,,
84,12/25/22,0,0,,,,
85,12/26/22,0,1,,,,
86,12/27/22,0,1,,,,
87,12/28/22,0,1,,,,
88,12/29/22,0,1,,,,
89,12/30/22,0,1,,,,
90,12/31/22,0,0,,,,
91,1/1/23,0,0,,,,
92,1/2/23,0,1,,,,
93,1/3/23,1,1,,,,
94,1/4/23,1,1,,,,
95,1/5/23,1,1,,,,
96,1/6/23,1,1,,,,
97,1/7/23,0,0,,,,
98,1/8/23,0,0,,,,
99,1/9/23,1,1,,,,
100,1/10/23,1,1,,,,
101,1/11/23,1,1,,,,
102,1/12/23,1,1,,,,
103,1/13/23,1,1,,,,
104,1/14/23,0,0,,,,
105,1/15/23,0,0,,,,
106,1/16/23,1,1,,,,
107,1/17/23,1,1,,,,
108,1/18/23,1,1,,,,
109,1/19/23,1,1,,,,
110,1/20/23,1,1,,,,
111,1/21/23,0,0,,,,
112,1/22/23,0,0,,,,
113,1/23/23,1,1,,,,
114,1/24/23,1,1,,,,
115,1/25/23,1,1,,,,
116,1/26/23,1,1,,,,
117,1/27/23,1,1,,,,
118,1/28/23,0,0,,,,
119,1/29/23,0,0,,,,
120,1/30/23,1,1,,,,
121,1/31/23,1,1,,,,
122,2/1/23,1,1,,,,
123,2/2/23,1,1,,,,
124,2/3/23,1,1,,,,
125,2/4/23,0,0,,,,
126,2/5/23,0,0,,,,
127,2/6/23,1,1,,,,
128,2/7/23,1,1,,,,
129,2/8/23,1,1,,,,
130,2/9/23,1,1,,,,
131,2/10/23,1,1,,,,
132,2/11/23,0,0,,,,
