date,0_1,2_4,5_11,12_18,19_49,50_64,65+
10/3/22,332.136986,0,0,0,0,0,0
10/4/22,332.136986,0,0,0,0,0,0
10/5/22,332.136986,0,0,0,0,0,0
10/6/22,332.136986,0,0,0,0,0,0
10/7/22,332.136986,0,0,0,0,0,0
10/8/22,332.136986,0,0,0,0,0,0
10/9/22,332.136986,0,0,0,0,0,0
10/10/22,332.136986,0,0,0,0,0,0
10/11/22,332.136986,0,0,0,0,0,0
10/12/22,332.136986,0,0,0,0,0,0
10/13/22,332.136986,0,0,0,0,0,0
10/14/22,332.136986,0,0,0,0,0,0
10/15/22,332.136986,0,0,0,0,0,0
10/16/22,332.136986,0,0,0,0,0,0
10/17/22,332.136986,0,0,0,0,0,0
10/18/22,332.136986,0,0,0,0,0,0
10/19/22,332.136986,0,0,0,0,0,0
10/20/22,332.136986,0,0,0,0,0,0
10/21/22,332.136986,0,0,0,0,0,0
10/22/22,332.136986,0,0,0,0,0,0
10/23/22,332.136986,0,0,0,0,0,0
10/24/22,332.136986,0,0,0,0,0,0
10/25/22,332.136986,0,0,0,0,0,0
10/26/22,332.136986,0,0,0,0,0,0
10/27/22,332.136986,0,0,0,0,0,0
10/28/22,332.136986,0,0,0,0,0,0
10/29/22,332.136986,0,0,0,0,0,0
10/30/22,332.136986,0,0,0,0,0,0
10/31/22,332.136986,0,0,0,0,0,0
11/1/22,332.136986,0,0,0,0,0,0
11/2/22,332.136986,0,0,0,0,0,0
11/3/22,332.136986,0,0,0,0,0,0
11/4/22,332.136986,0,0,0,0,0,0
11/5/22,332.136986,0,0,0,0,0,0
11/6/22,332.136986,0,0,0,0,0,0
11/7/22,332.136986,0,0,0,0,0,0
11/8/22,332.136986,0,0,0,0,0,0
11/9/22,332.136986,0,0,0,0,0,0
11/10/22,332.136986,0,0,0,0,0,0
11/11/22,332.136986,0,0,0,0,0,0
11/12/22,332.136986,0,0,0,0,0,0
11/13/22,332.136986,0,0,0,0,0,0
11/14/22,332.136986,0,0,0,0,0,0
11/15/22,332.136986,0,0,0,0,0,0
11/16/22,332.136986,0,0,0,0,0,0
11/17/22,332.136986,0,0,0,0,0,0
11/18/22,332.136986,0,0,0,0,0,0
11/19/22,332.136986,0,0,0,0,0,0
11/20/22,332.136986,0,0,0,0,0,0
11/21/22,332.136986,0,0,0,0,0,0
11/22/22,332.136986,0,0,0,0,0,0
11/23/22,332.136986,0,0,0,0,0,0
11/24/22,332.136986,0,0,0,0,0,0
11/25/22,332.136986,0,0,0,0,0,0
11/26/22,332.136986,0,0,0,0,0,0
11/27/22,332.136986,0,0,0,0,0,0
11/28/22,332.136986,0,0,0,0,0,0
11/29/22,332.136986,0,0,0,0,0,0
11/30/22,332.136986,0,0,0,0,0,0
12/1/22,332.136986,0,0,0,0,0,0
12/2/22,332.136986,0,0,0,0,0,0
12/3/22,332.136986,0,0,0,0,0,0
12/4/22,332.136986,0,0,0,0,0,0
12/5/22,332.136986,0,0,0,0,0,0
12/6/22,332.136986,0,0,0,0,0,0
12/7/22,332.136986,0,0,0,0,0,0
12/8/22,332.136986,0,0,0,0,0,0
12/9/22,332.136986,0,0,0,0,0,0
12/10/22,332.136986,0,0,0,0,0,0
12/11/22,332.136986,0,0,0,0,0,0
12/12/22,332.136986,0,0,0,0,0,0
12/13/22,332.136986,0,0,0,0,0,0
12/14/22,332.136986,0,0,0,0,0,0
12/15/22,332.136986,0,0,0,0,0,0
12/16/22,332.136986,0,0,0,0,0,0
12/17/22,332.136986,0,0,0,0,0,0
