date,0_1,2_4,5_11,12_18,19_49,50_64,65+
10/03/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/04/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/05/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/06/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/07/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/08/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/09/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/10/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/11/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/12/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/13/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/14/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/15/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/16/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/17/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/18/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/19/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/20/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/21/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/22/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/23/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/24/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/25/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/26/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/27/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/28/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/29/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/30/2022,58.44748858447488,0,0,0,0,0.0,0.0
10/31/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/01/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/02/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/03/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/04/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/05/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/06/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/07/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/08/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/09/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/10/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/11/2022,58.44748858447488,0,0,0,0,0.0,0.0
11/12/2022,58.44748858447488,0,0,0,0,0.0,0.0
