,date,school,work
0,12/1/2022,1,1
1,12/2/2022,1,1
2,12/3/2022,0,0
3,12/4/2022,0,0
4,12/5/2022,1,1
5,12/6/2022,1,1
6,12/7/2022,1,1
7,12/8/2022,1,1
8,12/9/2022,1,1
9,12/10/2022,0,0
10,12/11/2022,0,0
11,12/12/2022,1,1
12,12/13/2022,1,1
13,12/14/2022,1,1
14,12/15/2022,1,1
15,12/16/2022,1,1
16,12/17/2022,0,0
17,12/18/2022,0,0
18,12/19/2022,0,1
19,12/20/2022,0,1
20,12/21/2022,0,1
21,12/22/2022,0,1
22,12/23/2022,0,1
23,12/24/2022,0,0
24,12/25/2022,0,0
25,12/26/2022,0,1
26,12/27/2022,0,1
27,12/28/2022,0,1
28,12/29/2022,0,1
29,12/30/2022,0,1
30,12/31/2022,0,0
31,1/1/2023,0,0
32,1/2/2023,0,0
33,1/3/2023,1,1
34,1/4/2023,1,1
35,1/5/2023,1,1
36,1/6/2023,1,1
37,1/7/2023,0,0
38,1/8/2023,0,0
39,1/9/2023,1,1
40,1/10/2023,1,1
41,1/11/2023,1,1
42,1/12/2023,1,1
43,1/13/2023,1,1
44,1/14/2023,0,0
45,1/15/2023,0,0
46,1/16/2023,0,0
47,1/17/2023,1,1
48,1/18/2023,1,1
49,1/19/2023,1,1
50,1/20/2023,1,1
51,1/21/2023,0,0
52,1/22/2023,0,0
53,1/23/2023,1,1
54,1/24/2023,1,1
55,1/25/2023,1,1
56,1/26/2023,1,1
57,1/27/2023,1,1
58,1/28/2023,0,0
59,1/29/2023,0,0
60,1/30/2023,1,1
61,1/31/2023,1,1
62,2/1/2023,1,1
63,2/2/2023,1,1
64,2/3/2023,1,1
65,2/4/2023,0,0
66,2/5/2023,0,0
67,2/6/2023,1,1
68,2/7/2023,1,1
69,2/8/2023,1,1
70,2/9/2023,1,1
71,2/10/2023,1,1
72,2/11/2023,0,0
73,2/12/2023,0,0
74,2/13/2023,1,1
75,2/14/2023,1,1
76,2/15/2023,1,1
77,2/16/2023,1,1
78,2/17/2023,1,1
79,2/18/2023,0,0
80,2/19/2023,0,0
81,2/20/2023,1,1
82,2/21/2023,1,1
83,2/22/2023,1,1
84,2/23/2023,1,1
85,2/24/2023,1,1
86,2/25/2023,0,0
87,2/26/2023,0,0
88,2/27/2023,1,1
89,2/28/2023,1,1
90,3/1/2023,1,1
91,3/2/2023,1,1
92,3/3/2023,1,1
93,3/4/2023,0,0
94,3/5/2023,0,0
95,3/6/2023,1,1
96,3/7/2023,1,1
97,3/8/2023,1,1
98,3/9/2023,1,1
99,3/10/2023,1,1
100,3/11/2023,0,0
101,3/12/2023,0,0
102,3/13/2023,0,1
103,3/14/2023,0,1
104,3/15/2023,0,1
105,3/16/2023,0,1
106,3/17/2023,0,1
107,3/18/2023,0,0
108,3/19/2023,0,0
109,3/20/2023,1,1
110,3/21/2023,1,1
111,3/22/2023,1,1
112,3/23/2023,1,1
113,3/24/2023,1,1
114,3/25/2023,0,0
115,3/26/2023,0,0
116,3/27/2023,1,1
117,3/28/2023,1,1
118,3/29/2023,1,1
119,3/30/2023,1,1
120,3/31/2023,1,1
121,4/1/2023,0,0
122,4/2/2023,0,0
123,4/3/2023,1,1
124,4/4/2023,1,1
125,4/5/2023,1,1
126,4/6/2023,1,1
127,4/7/2023,1,1
128,4/8/2023,0,0
129,4/9/2023,0,0
130,4/10/2023,1,1
131,4/11/2023,1,1
132,4/12/2023,1,1
133,4/13/2023,1,1
134,4/14/2023,1,1
135,4/15/2023,0,0
136,4/16/2023,0,0
137,4/17/2023,1,1
138,4/18/2023,1,1
139,4/19/2023,1,1
140,4/20/2023,1,1
141,4/21/2023,1,1
142,4/22/2023,0,0
143,4/23/2023,0,0
144,4/24/2023,1,1
145,4/25/2023,1,1
146,4/26/2023,1,1
147,4/27/2023,1,1
148,4/28/2023,1,1
149,4/29/2023,0,0
150,4/30/2023,0,0
151,5/1/2023,1,1
152,5/2/2023,1,1
153,5/3/2023,1,1
154,5/4/2023,1,1
155,5/5/2023,1,1
156,5/6/2023,0,0
157,5/7/2023,0,0
158,5/8/2023,1,1
159,5/9/2023,1,1
160,5/10/2023,1,1
161,5/11/2023,1,1
162,5/12/2023,1,1
163,5/13/2023,0,0
164,5/14/2023,0,0
165,5/15/2023,1,1
166,5/16/2023,1,1
167,5/17/2023,1,1
168,5/18/2023,1,1
169,5/19/2023,1,1
170,5/20/2023,0,0
171,5/21/2023,0,0
172,5/22/2023,1,1
173,5/23/2023,1,1
174,5/24/2023,1,1
175,5/25/2023,1,1
176,5/26/2023,1,1
177,5/27/2023,0,0
178,5/28/2023,0,0
179,5/29/2023,0,0
180,5/30/2023,1,1
181,5/31/2023,1,1
182,6/1/2023,0,1
183,6/2/2023,0,1
184,6/3/2023,0,0
185,6/4/2023,0,0
186,6/5/2023,0,1
187,6/6/2023,0,1
188,6/7/2023,0,1
189,6/8/2023,0,1
190,6/9/2023,0,1
191,6/10/2023,0,0
192,6/11/2023,0,0
193,6/12/2023,0,1
194,6/13/2023,0,1
195,6/14/2023,0,1
196,6/15/2023,0,1
197,6/16/2023,0,1
198,6/17/2023,0,0
199,6/18/2023,0,0
200,6/19/2023,0,1
201,6/20/2023,0,1
202,6/21/2023,0,1
203,6/22/2023,0,1
204,6/23/2023,0,1
205,6/24/2023,0,0
206,6/25/2023,0,0
207,6/26/2023,0,1
208,6/27/2023,0,1
209,6/28/2023,0,1
210,6/29/2023,0,1
211,6/30/2023,0,1
212,7/1/2023,0,0
213,7/2/2023,0,0
214,7/3/2023,0,1
215,7/4/2023,0,0
216,7/5/2023,0,1
217,7/6/2023,0,1
218,7/7/2023,0,1
219,7/8/2023,0,0
220,7/9/2023,0,0
221,7/10/2023,0,1
222,7/11/2023,0,1
223,7/12/2023,0,1
224,7/13/2023,0,1
225,7/14/2023,0,1
226,7/15/2023,0,0
227,7/16/2023,0,0
228,7/17/2023,0,1
229,7/18/2023,0,1
230,7/19/2023,0,1
231,7/20/2023,0,1
232,7/21/2023,0,1
233,7/22/2023,0,0
234,7/23/2023,0,0
235,7/24/2023,0,1
236,7/25/2023,0,1
237,7/26/2023,0,1
238,7/27/2023,0,1
239,7/28/2023,0,1
240,7/29/2023,0,0
241,7/30/2023,0,0
242,7/31/2023,0,1
243,8/1/2023,0,1
244,8/2/2023,0,1
245,8/3/2023,0,1
246,8/4/2023,0,1
247,8/5/2023,0,0
248,8/6/2023,0,0
249,8/7/2023,0,1
250,8/8/2023,0,1
251,8/9/2023,0,1
252,8/10/2023,0,1
253,8/11/2023,0,1
254,8/12/2023,0,0
255,8/13/2023,0,0
256,8/14/2023,0,1
257,8/15/2023,0,1
258,8/16/2023,0,1
259,8/17/2023,0,1
260,8/18/2023,0,1
261,8/19/2023,0,0
262,8/20/2023,0,0
263,8/21/2023,0,1
264,8/22/2023,0,1
265,8/23/2023,0,1
266,8/24/2023,0,1
267,8/25/2023,0,1
268,8/26/2023,0,0
269,8/27/2023,0,0
270,8/28/2023,1,1
271,8/29/2023,1,1
272,8/30/2023,1,1
273,8/31/2023,1,1
274,9/1/2023,1,1
275,9/2/2023,0,0
276,9/3/2023,0,0
277,9/4/2023,0,0
278,9/5/2023,1,1
279,9/6/2023,1,1
280,9/7/2023,1,1
281,9/8/2023,1,1
282,9/9/2023,0,0
283,9/10/2023,0,0
284,9/11/2023,1,1
285,9/12/2023,1,1
286,9/13/2023,1,1
287,9/14/2023,1,1
288,9/15/2023,1,1
289,9/16/2023,0,0
290,9/17/2023,0,0
291,9/18/2023,1,1
292,9/19/2023,1,1
293,9/20/2023,1,1
294,9/21/2023,1,1
295,9/22/2023,1,1
296,9/23/2023,0,0
297,9/24/2023,0,0
298,9/25/2023,1,1
299,9/26/2023,1,1
300,9/27/2023,1,1
301,9/28/2023,1,1
302,9/29/2023,1,1
303,9/30/2023,0,0
304,10/1/2023,0,0
305,10/2/2023,1,1
306,10/3/2023,1,1
307,10/4/2023,1,1
308,10/5/2023,1,1
309,10/6/2023,1,1
310,10/7/2023,0,0
311,10/8/2023,0,0
312,10/9/2023,1,1
